
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Total,,,,,Ciencias Sociales y Jurídicas,,,,,Ingeniería y Arquitectura,,,,,Artes y Humanidades,,,,,Ciencias de la Salud,,,,,Ciencias,,,,,
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Todas las universidades,
    Total,
        Hombres,
            Total,711.0,861.0,837.0,923.0,928.0,366.0,485.0,487.0,562.0,550.0,234.0,262.0,250.0,232.0,251.0,56.0,62.0,54.0,75.0,57.0,22.0,21.0,18.0,24.0,36.0,33.0,31.0,28.0,30.0,34.0,
            Tiempo Completo,477.0,589.0,550.0,581.0,603.0,279.0,372.0,362.0,412.0,380.0,112.0,125.0,118.0,94.0,135.0,40.0,47.0,32.0,40.0,33.0,16.0,18.0,16.0,19.0,29.0,30.0,27.0,22.0,16.0,26.0,
            Tiempo Parcial,234.0,272.0,287.0,342.0,325.0,87.0,113.0,125.0,150.0,170.0,122.0,137.0,132.0,138.0,116.0,16.0,15.0,22.0,35.0,24.0,6.0,3.0,2.0,5.0,7.0,3.0,4.0,6.0,14.0,8.0,
        Mujeres,
            Total,713.0,885.0,867.0,874.0,957.0,452.0,604.0,594.0,623.0,649.0,117.0,105.0,87.0,62.0,68.0,79.0,81.0,87.0,92.0,103.0,38.0,53.0,59.0,52.0,94.0,27.0,42.0,40.0,45.0,43.0,
            Tiempo Completo,512.0,643.0,590.0,586.0,669.0,350.0,459.0,419.0,434.0,472.0,54.0,55.0,34.0,24.0,30.0,52.0,45.0,52.0,51.0,60.0,30.0,45.0,51.0,43.0,79.0,26.0,39.0,34.0,34.0,28.0,
            Tiempo Parcial,201.0,242.0,277.0,288.0,288.0,102.0,145.0,175.0,189.0,177.0,63.0,50.0,53.0,38.0,38.0,27.0,36.0,35.0,41.0,43.0,8.0,8.0,8.0,9.0,15.0,1.0,3.0,6.0,11.0,15.0,
    Centro adscrito,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Otras unidades,
        Ambos sexos,
            Total,10.0,14.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,14.0,13.0,13.0,
            Tiempo Completo,7.0,10.0,8.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,8.0,8.0,10.0,
            Tiempo Parcial,3.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,5.0,3.0,
        Hombres,
            Total,7.0,6.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,3.0,2.0,
            Tiempo Completo,6.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,3.0,2.0,
            Tiempo Parcial,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,
        Mujeres,
            Total,3.0,8.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,8.0,10.0,11.0,
            Tiempo Completo,1.0,6.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,5.0,8.0,
            Tiempo Parcial,2.0,2.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,3.0,
Complutense de Madrid,
    Total,
        Ambos sexos,
            Total,6875.0,6422.0,7131.0,6988.0,7137.0,4266.0,3600.0,3950.0,3885.0,3903.0,256.0,277.0,300.0,296.0,283.0,974.0,1088.0,1136.0,1186.0,1206.0,725.0,747.0,962.0,882.0,905.0,654.0,710.0,783.0,739.0,840.0,
            Tiempo Completo,4955.0,4402.0,4860.0,4660.0,4631.0,3156.0,2483.0,2781.0,2618.0,2611.0,107.0,145.0,131.0,123.0,125.0,653.0,739.0,728.0,774.0,723.0,504.0,493.0,658.0,587.0,565.0,535.0,542.0,562.0,558.0,607.0,
            Tiempo Parcial,1920.0,2020.0,2271.0,2328.0,2506.0,1110.0,1117.0,1169.0,1267.0,1292.0,149.0,132.0,169.0,173.0,158.0,321.0,349.0,408.0,412.0,483.0,221.0,254.0,304.0,295.0,340.0,119.0,168.0,221.0,181.0,233.0,
        Hombres,
            Total,2714.0,2646.0,2867.0,2773.0,2800.0,1670.0,1514.0,1601.0,1567.0,1560.0,176.0,195.0,218.0,214.0,197.0,348.0,407.0,421.0,422.0,422.0,184.0,177.0,242.0,199.0,205.0,336.0,353.0,385.0,371.0,416.0,
            Tiempo Completo,1879.0,1804.0,1931.0,1867.0,1815.0,1159.0,1043.0,1132.0,1089.0,1057.0,69.0,96.0,89.0,81.0,79.0,238.0,283.0,259.0,271.0,248.0,144.0,113.0,178.0,136.0,131.0,269.0,269.0,273.0,290.0,300.0,
            Tiempo Parcial,835.0,842.0,936.0,906.0,985.0,511.0,471.0,469.0,478.0,503.0,107.0,99.0,129.0,133.0,118.0,110.0,124.0,162.0,151.0,174.0,40.0,64.0,64.0,63.0,74.0,67.0,84.0,112.0,81.0,116.0,
        Mujeres,
            Total,4161.0,3776.0,4264.0,4215.0,4337.0,2596.0,2086.0,2349.0,2318.0,2343.0,80.0,82.0,82.0,82.0,86.0,626.0,681.0,715.0,764.0,784.0,541.0,570.0,720.0,683.0,700.0,318.0,357.0,398.0,368.0,424.0,
            Tiempo Completo,3076.0,2598.0,2929.0,2793.0,2816.0,1997.0,1440.0,1649.0,1529.0,1554.0,38.0,49.0,42.0,42.0,46.0,415.0,456.0,469.0,503.0,475.0,360.0,380.0,480.0,451.0,434.0,266.0,273.0,289.0,268.0,307.0,
            Tiempo Parcial,1085.0,1178.0,1335.0,1422.0,1521.0,599.0,646.0,700.0,789.0,789.0,42.0,33.0,40.0,40.0,40.0,211.0,225.0,246.0,261.0,309.0,181.0,190.0,240.0,232.0,266.0,52.0,84.0,109.0,100.0,117.0,
    Centro propio,
        Ambos sexos,
            Total,6373.0,5824.0,6391.0,6276.0,6396.0,3797.0,3063.0,3305.0,3303.0,3319.0,256.0,277.0,300.0,296.0,283.0,959.0,1077.0,1119.0,1166.0,1174.0,707.0,697.0,884.0,772.0,780.0,654.0,710.0,783.0,739.0,840.0,
            Tiempo Completo,4582.0,4020.0,4336.0,4219.0,4139.0,2814.0,2141.0,2320.0,2254.0,2208.0,107.0,145.0,131.0,123.0,125.0,640.0,730.0,713.0,755.0,697.0,486.0,462.0,610.0,529.0,502.0,535.0,542.0,562.0,558.0,607.0,
            Tiempo Parcial,1791.0,1804.0,2055.0,2057.0,2257.0,983.0,922.0,985.0,1049.0,1111.0,149.0,132.0,169.0,173.0,158.0,319.0,347.0,406.0,411.0,477.0,221.0,235.0,274.0,243.0,278.0,119.0,168.0,221.0,181.0,233.0,
        Hombres,
            Total,2457.0,2344.0,2578.0,2491.0,2501.0,1424.0,1225.0,1326.0,1301.0,1279.0,176.0,195.0,218.0,214.0,197.0,341.0,404.0,419.0,419.0,417.0,180.0,167.0,230.0,186.0,192.0,336.0,353.0,385.0,371.0,416.0,
            Tiempo Completo,1678.0,1618.0,1730.0,1693.0,1605.0,968.0,866.0,939.0,922.0,860.0,69.0,96.0,89.0,81.0,79.0,232.0,280.0,257.0,268.0,243.0,140.0,107.0,172.0,132.0,123.0,269.0,269.0,273.0,290.0,300.0,
            Tiempo Parcial,779.0,726.0,848.0,798.0,896.0,456.0,359.0,387.0,379.0,419.0,107.0,99.0,129.0,133.0,118.0,109.0,124.0,162.0,151.0,174.0,40.0,60.0,58.0,54.0,69.0,67.0,84.0,112.0,81.0,116.0,
        Mujeres,
            Total,3916.0,3480.0,3813.0,3785.0,3895.0,2373.0,1838.0,1979.0,2002.0,2040.0,80.0,82.0,82.0,82.0,86.0,618.0,673.0,700.0,747.0,757.0,527.0,530.0,654.0,586.0,588.0,318.0,357.0,398.0,368.0,424.0,
            Tiempo Completo,2904.0,2402.0,2606.0,2526.0,2534.0,1846.0,1275.0,1381.0,1332.0,1348.0,38.0,49.0,42.0,42.0,46.0,408.0,450.0,456.0,487.0,454.0,346.0,355.0,438.0,397.0,379.0,266.0,273.0,289.0,268.0,307.0,
            Tiempo Parcial,1012.0,1078.0,1207.0,1259.0,1361.0,527.0,563.0,598.0,670.0,692.0,42.0,33.0,40.0,40.0,40.0,210.0,223.0,244.0,260.0,303.0,181.0,175.0,216.0,189.0,209.0,52.0,84.0,109.0,100.0,117.0,
    Centro adscrito,
        Ambos sexos,
            Total,452.0,555.0,688.0,683.0,705.0,434.0,505.0,610.0,573.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,50.0,78.0,110.0,125.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,327.0,351.0,481.0,414.0,462.0,309.0,320.0,433.0,356.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,48.0,58.0,63.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,125.0,204.0,207.0,269.0,243.0,125.0,185.0,177.0,217.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,52.0,62.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,237.0,287.0,275.0,272.0,291.0,233.0,277.0,263.0,259.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,183.0,174.0,190.0,165.0,202.0,179.0,168.0,184.0,161.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,54.0,113.0,85.0,107.0,89.0,54.0,109.0,79.0,98.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,215.0,268.0,413.0,411.0,414.0,201.0,228.0,347.0,314.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,40.0,66.0,97.0,112.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,144.0,177.0,291.0,249.0,260.0,130.0,152.0,249.0,195.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,42.0,54.0,55.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,71.0,91.0,122.0,162.0,154.0,71.0,76.0,98.0,119.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,43.0,57.0,0.0,0.0,0.0,0.0,0.0,
    Otras unidades,
        Ambos sexos,
            Total,50.0,43.0,52.0,29.0,36.0,35.0,32.0,35.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,17.0,20.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,46.0,31.0,43.0,27.0,30.0,33.0,22.0,28.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,15.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,4.0,12.0,9.0,2.0,6.0,2.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,20.0,15.0,14.0,10.0,8.0,13.0,12.0,12.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,18.0,12.0,11.0,9.0,8.0,12.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,2.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,30.0,28.0,38.0,19.0,28.0,22.0,20.0,23.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,15.0,17.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,28.0,19.0,32.0,18.0,22.0,21.0,13.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,13.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,2.0,9.0,6.0,1.0,6.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Córdoba,
    Total,
        Ambos sexos,
            Total,1591.0,1442.0,1626.0,1791.0,1970.0,651.0,677.0,774.0,864.0,918.0,376.0,311.0,379.0,382.0,424.0,216.0,183.0,220.0,287.0,289.0,217.0,174.0,164.0,173.0,215.0,131.0,97.0,89.0,85.0,124.0,
            Tiempo Completo,1202.0,1063.0,1186.0,1236.0,1356.0,534.0,540.0,580.0,598.0,635.0,267.0,208.0,250.0,234.0,243.0,145.0,121.0,171.0,220.0,211.0,140.0,109.0,100.0,108.0,150.0,116.0,85.0,85.0,76.0,117.0,
            Tiempo Parcial,389.0,379.0,440.0,555.0,614.0,117.0,137.0,194.0,266.0,283.0,109.0,103.0,129.0,148.0,181.0,71.0,62.0,49.0,67.0,78.0,77.0,65.0,64.0,65.0,65.0,15.0,12.0,4.0,9.0,7.0,
        Hombres,
            Total,685.0,598.0,681.0,788.0,843.0,212.0,235.0,286.0,347.0,348.0,267.0,226.0,269.0,256.0,287.0,72.0,54.0,55.0,95.0,87.0,75.0,42.0,38.0,48.0,62.0,59.0,41.0,33.0,42.0,59.0,
            Tiempo Completo,502.0,437.0,490.0,537.0,555.0,174.0,186.0,216.0,239.0,234.0,180.0,150.0,170.0,144.0,147.0,43.0,41.0,44.0,85.0,69.0,54.0,28.0,28.0,32.0,49.0,51.0,32.0,32.0,37.0,56.0,
            Tiempo Parcial,183.0,161.0,191.0,251.0,288.0,38.0,49.0,70.0,108.0,114.0,87.0,76.0,99.0,112.0,140.0,29.0,13.0,11.0,10.0,18.0,21.0,14.0,10.0,16.0,13.0,8.0,9.0,1.0,5.0,3.0,
        Mujeres,
            Total,906.0,844.0,945.0,1003.0,1127.0,439.0,442.0,488.0,517.0,570.0,109.0,85.0,110.0,126.0,137.0,144.0,129.0,165.0,192.0,202.0,142.0,132.0,126.0,125.0,153.0,72.0,56.0,56.0,43.0,65.0,
            Tiempo Completo,700.0,626.0,696.0,699.0,801.0,360.0,354.0,364.0,359.0,401.0,87.0,58.0,80.0,90.0,96.0,102.0,80.0,127.0,135.0,142.0,86.0,81.0,72.0,76.0,101.0,65.0,53.0,53.0,39.0,61.0,
            Tiempo Parcial,206.0,218.0,249.0,304.0,326.0,79.0,88.0,124.0,158.0,169.0,22.0,27.0,30.0,36.0,41.0,42.0,49.0,38.0,57.0,60.0,56.0,51.0,54.0,49.0,52.0,7.0,3.0,3.0,4.0,4.0,
    Centro propio,
        Ambos sexos,
            Total,1591.0,1442.0,1626.0,1791.0,1970.0,651.0,677.0,774.0,864.0,918.0,376.0,311.0,379.0,382.0,424.0,216.0,183.0,220.0,287.0,289.0,217.0,174.0,164.0,173.0,215.0,131.0,97.0,89.0,85.0,124.0,
            Tiempo Completo,1202.0,1063.0,1186.0,1236.0,1356.0,534.0,540.0,580.0,598.0,635.0,267.0,208.0,250.0,234.0,243.0,145.0,121.0,171.0,220.0,211.0,140.0,109.0,100.0,108.0,150.0,116.0,85.0,85.0,76.0,117.0,
            Tiempo Parcial,389.0,379.0,440.0,555.0,614.0,117.0,137.0,194.0,266.0,283.0,109.0,103.0,129.0,148.0,181.0,71.0,62.0,49.0,67.0,78.0,77.0,65.0,64.0,65.0,65.0,15.0,12.0,4.0,9.0,7.0,
        Hombres,
            Total,685.0,598.0,681.0,788.0,843.0,212.0,235.0,286.0,347.0,348.0,267.0,226.0,269.0,256.0,287.0,72.0,54.0,55.0,95.0,87.0,75.0,42.0,38.0,48.0,62.0,59.0,41.0,33.0,42.0,59.0,
            Tiempo Completo,502.0,437.0,490.0,537.0,555.0,174.0,186.0,216.0,239.0,234.0,180.0,150.0,170.0,144.0,147.0,43.0,41.0,44.0,85.0,69.0,54.0,28.0,28.0,32.0,49.0,51.0,32.0,32.0,37.0,56.0,
            Tiempo Parcial,183.0,161.0,191.0,251.0,288.0,38.0,49.0,70.0,108.0,114.0,87.0,76.0,99.0,112.0,140.0,29.0,13.0,11.0,10.0,18.0,21.0,14.0,10.0,16.0,13.0,8.0,9.0,1.0,5.0,3.0,
        Mujeres,
            Total,906.0,844.0,945.0,1003.0,1127.0,439.0,442.0,488.0,517.0,570.0,109.0,85.0,110.0,126.0,137.0,144.0,129.0,165.0,192.0,202.0,142.0,132.0,126.0,125.0,153.0,72.0,56.0,56.0,43.0,65.0,
            Tiempo Completo,700.0,626.0,696.0,699.0,801.0,360.0,354.0,364.0,359.0,401.0,87.0,58.0,80.0,90.0,96.0,102.0,80.0,127.0,135.0,142.0,86.0,81.0,72.0,76.0,101.0,65.0,53.0,53.0,39.0,61.0,
            Tiempo Parcial,206.0,218.0,249.0,304.0,326.0,79.0,88.0,124.0,158.0,169.0,22.0,27.0,30.0,36.0,41.0,42.0,49.0,38.0,57.0,60.0,56.0,51.0,54.0,49.0,52.0,7.0,3.0,3.0,4.0,4.0,
    Centro adscrito,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Otras unidades,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Extremadura,
    Total,
        Ambos sexos,
            Total,1512.0,1568.0,1663.0,1679.0,1891.0,1031.0,1141.0,1249.0,1225.0,1357.0,216.0,188.0,173.0,193.0,225.0,113.0,114.0,121.0,123.0,153.0,72.0,72.0,79.0,87.0,100.0,80.0,53.0,41.0,51.0,56.0,
            Tiempo Completo,1008.0,1021.0,1055.0,1060.0,1273.0,715.0,806.0,827.0,796.0,946.0,118.0,78.0,81.0,81.0,129.0,90.0,65.0,64.0,86.0,91.0,39.0,46.0,54.0,61.0,71.0,46.0,26.0,29.0,36.0,36.0,
            Tiempo Parcial,504.0,547.0,608.0,619.0,618.0,316.0,335.0,422.0,429.0,411.0,98.0,110.0,92.0,112.0,96.0,23.0,49.0,57.0,37.0,62.0,33.0,26.0,25.0,26.0,29.0,34.0,27.0,12.0,15.0,20.0,
        Hombres,
            Total,669.0,644.0,697.0,747.0,784.0,414.0,426.0,477.0,473.0,474.0,148.0,130.0,128.0,155.0,169.0,42.0,41.0,35.0,47.0,57.0,37.0,31.0,38.0,44.0,56.0,28.0,16.0,19.0,28.0,28.0,
            Tiempo Completo,417.0,388.0,428.0,458.0,504.0,267.0,273.0,310.0,307.0,318.0,79.0,53.0,59.0,68.0,94.0,30.0,26.0,17.0,34.0,33.0,25.0,26.0,27.0,31.0,42.0,16.0,10.0,15.0,18.0,17.0,
