
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Total,,,,,Ciencias Sociales y Jurídicas,,,,,Ingeniería y Arquitectura,,,,,Artes y Humanidades,,,,,Ciencias de la Salud,,,,,Ciencias,,,,,
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Todas las universidades,
    Total,
            Tiempo Parcial,29881.0,34280.0,39305.0,43624.0,46992.0,17766.0,20424.0,23884.0,26302.0,27647.0,3057.0,3898.0,4665.0,5334.0,6084.0,3669.0,4008.0,4135.0,4420.0,4699.0,4565.0,5068.0,5571.0,6499.0,7355.0,824.0,882.0,1050.0,1069.0,1207.0,
    Centro adscrito,
        Ambos sexos,
            Total,9317.0,11844.0,14590.0,13832.0,14705.0,7281.0,9976.0,12626.0,11783.0,12543.0,297.0,91.0,58.0,91.0,109.0,872.0,880.0,869.0,784.0,754.0,579.0,692.0,691.0,834.0,939.0,288.0,205.0,346.0,340.0,360.0,
            Tiempo Completo,6990.0,8998.0,10533.0,8842.0,9579.0,5521.0,7725.0,9510.0,7685.0,8406.0,178.0,59.0,30.0,73.0,76.0,538.0,559.0,330.0,362.0,280.0,465.0,511.0,531.0,612.0,693.0,288.0,144.0,132.0,110.0,124.0,
            Tiempo Parcial,2327.0,2846.0,4057.0,4990.0,5126.0,1760.0,2251.0,3116.0,4098.0,4137.0,119.0,32.0,28.0,18.0,33.0,334.0,321.0,539.0,422.0,474.0,114.0,181.0,160.0,222.0,246.0,0.0,61.0,214.0,230.0,236.0,
        Hombres,
            Total,4593.0,5507.0,6980.0,6776.0,7039.0,3438.0,4583.0,5991.0,5780.0,6006.0,218.0,55.0,41.0,81.0,101.0,450.0,439.0,410.0,348.0,337.0,261.0,285.0,279.0,308.0,324.0,226.0,145.0,259.0,259.0,271.0,
            Tiempo Completo,3621.0,4323.0,5162.0,4306.0,4606.0,2781.0,3665.0,4649.0,3761.0,4063.0,130.0,38.0,24.0,70.0,70.0,279.0,290.0,163.0,149.0,117.0,205.0,222.0,226.0,246.0,268.0,226.0,108.0,100.0,80.0,88.0,
            Tiempo Parcial,972.0,1184.0,1818.0,2470.0,2433.0,657.0,918.0,1342.0,2019.0,1943.0,88.0,17.0,17.0,11.0,31.0,171.0,149.0,247.0,199.0,220.0,56.0,63.0,53.0,62.0,56.0,0.0,37.0,159.0,179.0,183.0,
        Mujeres,
            Total,4724.0,6337.0,7610.0,7056.0,7666.0,3843.0,5393.0,6635.0,6003.0,6537.0,79.0,36.0,17.0,10.0,8.0,422.0,441.0,459.0,436.0,417.0,318.0,407.0,412.0,526.0,615.0,62.0,60.0,87.0,81.0,89.0,
            Tiempo Completo,3369.0,4675.0,5371.0,4536.0,4973.0,2740.0,4060.0,4861.0,3924.0,4343.0,48.0,21.0,6.0,3.0,6.0,259.0,269.0,167.0,213.0,163.0,260.0,289.0,305.0,366.0,425.0,62.0,36.0,32.0,30.0,36.0,
            Tiempo Parcial,1355.0,1662.0,2239.0,2520.0,2693.0,1103.0,1333.0,1774.0,2079.0,2194.0,31.0,15.0,11.0,7.0,2.0,163.0,172.0,292.0,223.0,254.0,58.0,118.0,107.0,160.0,190.0,0.0,24.0,55.0,51.0,53.0,
    Otras unidades,
        Ambos sexos,
            Total,15204.0,16511.0,17793.0,17822.0,17030.0,8399.0,9198.0,9916.0,9807.0,9828.0,2139.0,2279.0,2447.0,2320.0,1934.0,1686.0,1799.0,2041.0,2362.0,2206.0,1661.0,1759.0,1882.0,1814.0,1684.0,1319.0,1476.0,1507.0,1519.0,1378.0,
            Tiempo Completo,10334.0,11228.0,12094.0,11609.0,10761.0,5571.0,6209.0,6708.0,6207.0,6209.0,1373.0,1347.0,1381.0,1319.0,1006.0,1041.0,1068.0,1318.0,1492.0,1245.0,1394.0,1505.0,1595.0,1507.0,1353.0,955.0,1099.0,1092.0,1084.0,948.0,
            Tiempo Parcial,4870.0,5283.0,5699.0,6213.0,6269.0,2828.0,2989.0,3208.0,3600.0,3619.0,766.0,932.0,1066.0,1001.0,928.0,645.0,731.0,723.0,870.0,961.0,267.0,254.0,287.0,307.0,331.0,364.0,377.0,415.0,435.0,430.0,
        Hombres,
            Total,6972.0,7467.0,7879.0,7986.0,7440.0,3760.0,4036.0,4274.0,4345.0,4223.0,1490.0,1611.0,1703.0,1595.0,1309.0,612.0,602.0,682.0,819.0,756.0,458.0,499.0,496.0,493.0,483.0,652.0,719.0,724.0,734.0,669.0,
            Tiempo Completo,4529.0,4875.0,5053.0,4882.0,4464.0,2317.0,2648.0,2764.0,2553.0,2567.0,967.0,921.0,916.0,891.0,658.0,374.0,334.0,432.0,489.0,409.0,387.0,435.0,427.0,416.0,391.0,484.0,537.0,514.0,533.0,439.0,
            Tiempo Parcial,2443.0,2592.0,2826.0,3104.0,2976.0,1443.0,1388.0,1510.0,1792.0,1656.0,523.0,690.0,787.0,704.0,651.0,238.0,268.0,250.0,330.0,347.0,71.0,64.0,69.0,77.0,92.0,168.0,182.0,210.0,201.0,230.0,
        Mujeres,
            Total,8232.0,9044.0,9914.0,9836.0,9590.0,4639.0,5162.0,5642.0,5462.0,5605.0,649.0,668.0,744.0,725.0,625.0,1074.0,1197.0,1359.0,1543.0,1450.0,1203.0,1260.0,1386.0,1321.0,1201.0,667.0,757.0,783.0,785.0,709.0,
            Tiempo Completo,5805.0,6353.0,7041.0,6727.0,6297.0,3254.0,3561.0,3944.0,3654.0,3642.0,406.0,426.0,465.0,428.0,348.0,667.0,734.0,886.0,1003.0,836.0,1007.0,1070.0,1168.0,1091.0,962.0,471.0,562.0,578.0,551.0,509.0,
            Tiempo Parcial,2427.0,2691.0,2873.0,3109.0,3293.0,1385.0,1601.0,1698.0,1808.0,1963.0,243.0,242.0,279.0,297.0,277.0,407.0,463.0,473.0,540.0,614.0,196.0,190.0,218.0,230.0,239.0,196.0,195.0,205.0,234.0,200.0,
Universidades Públicas,
    Total,
        Ambos sexos,
            Total,115409.0,124892.0,133824.0,136639.0,139338.0,57232.0,61839.0,66420.0,67083.0,68158.0,24895.0,28727.0,31270.0,32435.0,33377.0,13101.0,13444.0,13634.0,14361.0,14275.0,12579.0,12923.0,13865.0,13854.0,14234.0,7602.0,7959.0,8635.0,8906.0,9294.0,
            Tiempo Completo,73587.0,79050.0,83628.0,82325.0,83298.0,37246.0,40634.0,43933.0,41865.0,42684.0,15003.0,16383.0,16947.0,17293.0,17518.0,7272.0,7391.0,7390.0,8011.0,7563.0,8492.0,8855.0,9345.0,9015.0,9191.0,5574.0,5787.0,6013.0,6141.0,6342.0,
            Tiempo Parcial,41822.0,45842.0,50196.0,54314.0,56040.0,19986.0,21205.0,22487.0,25218.0,25474.0,9892.0,12344.0,14323.0,15142.0,15859.0,5829.0,6053.0,6244.0,6350.0,6712.0,4087.0,4068.0,4520.0,4839.0,5043.0,2028.0,2172.0,2622.0,2765.0,2952.0,
        Hombres,
            Total,53621.0,58159.0,62198.0,64299.0,64886.0,23104.0,24891.0,26450.0,27307.0,27188.0,17836.0,20507.0,22211.0,22956.0,23490.0,5025.0,5083.0,5101.0,5399.0,5256.0,3746.0,3692.0,4075.0,4089.0,4247.0,3910.0,3986.0,4361.0,4548.0,4705.0,
            Tiempo Completo,33533.0,36098.0,37665.0,37738.0,37738.0,14691.0,16404.0,17360.0,17052.0,17048.0,10651.0,11545.0,11836.0,12049.0,12139.0,2776.0,2763.0,2681.0,2937.0,2662.0,2567.0,2541.0,2805.0,2637.0,2759.0,2848.0,2845.0,2983.0,3063.0,3130.0,
            Tiempo Parcial,20088.0,22061.0,24533.0,26561.0,27148.0,8413.0,8487.0,9090.0,10255.0,10140.0,7185.0,8962.0,10375.0,10907.0,11351.0,2249.0,2320.0,2420.0,2462.0,2594.0,1179.0,1151.0,1270.0,1452.0,1488.0,1062.0,1141.0,1378.0,1485.0,1575.0,
        Mujeres,
