
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,220.0,87.0,23.0,26.0,21.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,148.0,46.0,75.0,21.0,4.0,
Almería,94.0,17.0,8.0,62.0,10.0,
Autónoma de Barcelona,145.0,32.0,94.0,135.0,20.0,
Autónoma de Madrid,317.0,55.0,115.0,50.0,52.0,
Barcelona,577.0,28.0,428.0,193.0,69.0,
Burgos,57.0,10.0,4.0,4.0,8.0,
Cádiz,80.0,24.0,16.0,9.0,24.0,
Cantabria,73.0,52.0,7.0,21.0,2.0,
Carlos III de Madrid,301.0,122.0,30.0,0.0,0.0,
Castilla-La Mancha,145.0,50.0,36.0,8.0,3.0,
Complutense de Madrid,563.0,33.0,223.0,175.0,84.0,
Córdoba,88.0,27.0,49.0,51.0,3.0,
Extremadura,179.0,33.0,34.0,21.0,21.0,
Girona,84.0,6.0,12.0,50.0,4.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,63.0,19.0,13.0,58.0,0.0,
Illes Balears (Les),213.0,6.0,34.0,50.0,50.0,
Jaén,24.0,6.0,0.0,21.0,0.0,
Jaume I de Castellón,161.0,33.0,98.0,51.0,8.0,
La Laguna,67.0,8.0,26.0,25.0,29.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,131.0,8.0,33.0,5.0,12.0,
León,44.0,53.0,21.0,51.0,3.0,
Lleida,64.0,25.0,50.0,54.0,2.0,
Málaga,323.0,21.0,43.0,44.0,8.0,
Miguel Hernández de Elche,126.0,34.0,1.0,93.0,0.0,
Murcia,280.0,2.0,59.0,130.0,34.0,
Oviedo,22.0,12.0,0.0,0.0,0.0,
Pablo de Olavide,76.0,2.0,41.0,10.0,59.0,
País Vasco/Euskal Herriko Unibertsitatea,87.0,24.0,0.0,29.0,0.0,
Politécnica de Cartagena,7.0,49.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,518.0,0.0,0.0,25.0,
Politécnica de Madrid,19.0,551.0,0.0,2.0,0.0,
Politècnica de València,65.0,418.0,134.0,26.0,33.0,
Pompeu Fabra,137.0,7.0,59.0,4.0,1.0,
Pública de Navarra,56.0,41.0,0.0,56.0,0.0,
Rey Juan Carlos,1360.0,49.0,36.0,138.0,12.0,
Rovira i Virgili,109.0,32.0,12.0,67.0,4.0,
Salamanca,62.0,18.0,33.0,50.0,2.0,
Santiago de Compostela,238.0,57.0,52.0,85.0,22.0,
Sevilla,293.0,155.0,112.0,149.0,5.0,
València (Estudi General),559.0,24.0,91.0,182.0,32.0,
Valladolid,59.0,91.0,25.0,14.0,1.0,
Vigo,200.0,27.0,57.0,5.0,46.0,
Zaragoza,174.0,58.0,28.0,82.0,8.0,
Universidades Públicas No Presenciales,1837.0,151.0,760.0,280.0,87.0,
Nacional de Educación a Distancia,1837.0,151.0,760.0,280.0,87.0,
Universidades Públicas Especiales,214.0,4.0,127.0,49.0,4.0,
Internacional de Andalucía,15.0,2.0,3.0,6.0,4.0,
Internacional Menéndez Pelayo,199.0,2.0,124.0,43.0,0.0,
