
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,172.0,193.0,15.0,9.0,39.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,304.0,106.0,54.0,11.0,30.0,
Almería,203.0,71.0,13.0,49.0,19.0,
Autónoma de Barcelona,405.0,78.0,121.0,98.0,181.0,
Autónoma de Madrid,309.0,25.0,96.0,56.0,229.0,
Barcelona,541.0,68.0,157.0,209.0,333.0,
Burgos,75.0,46.0,3.0,3.0,15.0,
Cádiz,183.0,202.0,26.0,32.0,58.0,
Cantabria,91.0,183.0,25.0,14.0,10.0,
Carlos III de Madrid,463.0,518.0,18.0,0.0,5.0,
Castilla-La Mancha,362.0,118.0,32.0,16.0,22.0,
Complutense de Madrid,939.0,89.0,257.0,172.0,273.0,
Córdoba,216.0,170.0,44.0,28.0,32.0,
Extremadura,304.0,59.0,17.0,16.0,15.0,
Girona,111.0,112.0,17.0,18.0,25.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,160.0,46.0,13.0,30.0,16.0,
Illes Balears (Les),166.0,13.0,21.0,16.0,72.0,
Jaén,9.0,69.0,0.0,5.0,0.0,
Jaume I de Castellón,150.0,66.0,44.0,35.0,23.0,
La Laguna,167.0,38.0,17.0,34.0,38.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,168.0,71.0,26.0,9.0,14.0,
León,167.0,95.0,2.0,64.0,8.0,
Lleida,81.0,76.0,13.0,29.0,0.0,
Málaga,440.0,179.0,52.0,40.0,45.0,
Miguel Hernández de Elche,280.0,91.0,8.0,228.0,17.0,
Murcia,338.0,19.0,66.0,80.0,45.0,
Oviedo,106.0,231.0,6.0,12.0,11.0,
Pablo de Olavide,244.0,4.0,53.0,23.0,64.0,
País Vasco/Euskal Herriko Unibertsitatea,143.0,338.0,0.0,6.0,0.0,
Politécnica de Cartagena,29.0,197.0,0.0,0.0,3.0,
Politécnica de Catalunya,45.0,1652.0,0.0,0.0,35.0,
Politécnica de Madrid,67.0,2224.0,1.0,23.0,22.0,
Politècnica de València,58.0,1253.0,52.0,23.0,37.0,
Pompeu Fabra,162.0,46.0,40.0,64.0,14.0,
Pública de Navarra,98.0,186.0,0.0,7.0,0.0,
Rey Juan Carlos,1332.0,150.0,94.0,146.0,20.0,
Rovira i Virgili,170.0,95.0,32.0,16.0,57.0,
Salamanca,307.0,54.0,93.0,44.0,58.0,
Santiago de Compostela,246.0,74.0,61.0,64.0,65.0,
Sevilla,429.0,702.0,145.0,106.0,73.0,
València (Estudi General),552.0,85.0,108.0,154.0,129.0,
Valladolid,76.0,143.0,14.0,8.0,9.0,
Vigo,236.0,281.0,45.0,4.0,36.0,
Zaragoza,331.0,242.0,35.0,60.0,76.0,
Universidades Públicas No Presenciales,741.0,117.0,115.0,62.0,43.0,
Nacional de Educación a Distancia,741.0,117.0,115.0,62.0,43.0,
Universidades Públicas Especiales,338.0,28.0,35.0,40.0,53.0,
Internacional de Andalucía,41.0,2.0,9.0,23.0,16.0,
Internacional Menéndez Pelayo,297.0,26.0,26.0,17.0,37.0,
Universidades Privadas,11861.0,2240.0,589.0,1193.0,157.0,
Universidades Privadas Presenciales,6246.0,1631.0,324.0,1003.0,69.0,
Abat Oliba CEU,86.0,0.0,0.0,5.0,0.0,
Alfonso X El Sabio,184.0,54.0,27.0,42.0,0.0,
Antonio de Nebrija,859.0,21.0,37.0,0.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,385.0,0.0,0.0,65.0,0.0,
Cardenal Herrera-CEU,199.0,24.0,0.0,46.0,0.0,
Católica de Valencia San Vicente Mártir,429.0,0.0,28.0,104.0,5.0,
Católica San Antonio,590.0,22.0,9.0,206.0,0.0,
Católica Santa Teresa de Jesús de Ávila,104.0,12.0,1.0,0.0,2.0,
Deusto,223.0,80.0,13.0,13.0,0.0,
Europea de Canarias,7.0,51.0,0.0,32.0,0.0,
Europea de Madrid,571.0,386.0,1.0,203.0,0.0,
Europea de Valencia,70.0,0.0,0.0,10.0,0.0,
Europea del Atlántico,120.0,56.0,19.0,0.0,0.0,
Europea Miguel de Cervantes,74.0,87.0,0.0,0.0,0.0,
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,3.0,0.0,
Francisco de Vitoria,770.0,0.0,0.0,11.0,0.0,
IE Universidad,95.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,17.0,12.0,0.0,38.0,0.0,
Loyola Andalucía,64.0,5.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,50.0,192.0,0.0,0.0,0.0,
Navarra,88.0,81.0,121.0,18.0,7.0,
Pontificia Comillas,201.0,323.0,41.0,32.0,0.0,
Pontificia de Salamanca,36.0,12.0,0.0,36.0,0.0,
Ramón Llull,832.0,190.0,1.0,24.0,39.0,
San Jorge,35.0,10.0,0.0,15.0,0.0,
San Pablo-CEU,121.0,4.0,23.0,83.0,5.0,
Vic-Central de Catalunya,36.0,9.0,3.0,17.0,11.0,
Universidades Privadas No Presenciales,5615.0,609.0,265.0,190.0,88.0,
A Distancia de Madrid,699.0,23.0,5.0,24.0,0.0,
Internacional de La Rioja,2613.0,483.0,111.0,83.0,58.0,
Internacional Isabel I de Castilla,507.0,0.0,0.0,0.0,0.0,
Internacional Valenciana,1271.0,0.0,121.0,41.0,30.0,
Oberta de Catalunya,525.0,103.0,28.0,42.0,0.0,
Notas:
Fuente: Sistema Integral de Información Universitaria
