
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,191.0,204.0,14.0,14.0,30.0,
Alcalá,0.0,52.0,0.0,0.0,0.0,
Alicante,312.0,103.0,62.0,13.0,42.0,
Almería,241.0,55.0,18.0,44.0,17.0,
Autónoma de Barcelona,427.0,63.0,110.0,80.0,154.0,
Autónoma de Madrid,298.0,47.0,92.0,60.0,216.0,
Barcelona,532.0,62.0,161.0,189.0,316.0,
Burgos,82.0,40.0,1.0,6.0,7.0,
Cádiz,184.0,189.0,42.0,20.0,89.0,
Cantabria,88.0,172.0,33.0,16.0,20.0,
Carlos III de Madrid,511.0,505.0,48.0,0.0,23.0,
Castilla-La Mancha,412.0,94.0,40.0,19.0,16.0,
Complutense de Madrid,922.0,81.0,268.0,132.0,290.0,
Córdoba,239.0,144.0,85.0,32.0,37.0,
Extremadura,303.0,68.0,34.0,23.0,18.0,
Girona,122.0,98.0,18.0,15.0,32.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,158.0,46.0,23.0,25.0,12.0,
Illes Balears (Les),183.0,13.0,13.0,15.0,67.0,
Jaén,20.0,76.0,0.0,6.0,0.0,
Jaume I de Castellón,130.0,74.0,37.0,21.0,26.0,
La Laguna,165.0,37.0,28.0,27.0,31.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,184.0,61.0,34.0,3.0,16.0,
León,214.0,93.0,6.0,26.0,9.0,
Lleida,105.0,90.0,17.0,19.0,6.0,
Málaga,472.0,252.0,66.0,43.0,49.0,
Miguel Hernández de Elche,279.0,81.0,4.0,248.0,11.0,
Murcia,323.0,24.0,67.0,70.0,55.0,
Oviedo,94.0,215.0,5.0,10.0,19.0,
Pablo de Olavide,284.0,16.0,75.0,30.0,48.0,
País Vasco/Euskal Herriko Unibertsitatea,143.0,350.0,0.0,2.0,0.0,
Politécnica de Cartagena,38.0,164.0,0.0,0.0,0.0,
Politécnica de Catalunya,59.0,1646.0,0.0,0.0,43.0,
Politécnica de Madrid,87.0,2313.0,1.0,16.0,25.0,
Politècnica de València,61.0,1418.0,64.0,24.0,43.0,
Pompeu Fabra,137.0,48.0,45.0,63.0,22.0,
Pública de Navarra,88.0,174.0,0.0,4.0,4.0,
Rey Juan Carlos,851.0,127.0,79.0,95.0,22.0,
Rovira i Virgili,181.0,115.0,18.0,30.0,40.0,
Salamanca,297.0,37.0,96.0,39.0,50.0,
Santiago de Compostela,241.0,81.0,61.0,47.0,64.0,
Sevilla,431.0,766.0,160.0,92.0,123.0,
València (Estudi General),553.0,61.0,89.0,154.0,137.0,
Valladolid,71.0,128.0,18.0,16.0,12.0,
Vigo,248.0,243.0,41.0,17.0,36.0,
Zaragoza,366.0,223.0,45.0,61.0,68.0,
Universidades Públicas No Presenciales,729.0,122.0,172.0,98.0,46.0,
Nacional de Educación a Distancia,729.0,122.0,172.0,98.0,46.0,
Universidades Públicas Especiales,327.0,28.0,15.0,25.0,59.0,
Internacional de Andalucía,40.0,5.0,15.0,25.0,13.0,
Internacional Menéndez Pelayo,287.0,23.0,0.0,0.0,46.0,
Universidades Privadas,12265.0,2619.0,629.0,1314.0,160.0,
Universidades Privadas Presenciales,6494.0,1791.0,283.0,989.0,41.0,
Abat Oliba CEU,94.0,0.0,0.0,3.0,0.0,
Alfonso X El Sabio,201.0,53.0,21.0,47.0,0.0,
Antonio de Nebrija,1050.0,41.0,33.0,0.0,0.0,
Atlántico Medio,71.0,0.0,0.0,0.0,0.0,
Camilo José Cela,530.0,0.0,0.0,63.0,0.0,
