
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,2733.0,910.0,326.0,875.0,350.0,
Alcalá,2456.0,567.0,813.0,2093.0,718.0,
Alicante,6740.0,662.0,1256.0,1005.0,674.0,
Almería,3156.0,214.0,364.0,927.0,435.0,
Autónoma de Barcelona,5654.0,249.0,2063.0,3638.0,1759.0,
Autónoma de Madrid,4398.0,289.0,2082.0,2643.0,1606.0,
Barcelona,9333.0,347.0,2974.0,5766.0,2177.0,
Burgos,1717.0,206.0,132.0,579.0,108.0,
Cádiz,4125.0,509.0,711.0,1635.0,637.0,
Cantabria,1708.0,402.0,64.0,759.0,136.0,
Carlos III de Madrid,4954.0,1123.0,38.0,0.0,0.0,
Castilla-La Mancha,5422.0,706.0,724.0,3061.0,523.0,
Complutense de Madrid,13077.0,602.0,4196.0,7844.0,2468.0,
Córdoba,2842.0,262.0,1019.0,1562.0,941.0,
Extremadura,4007.0,418.0,325.0,2276.0,733.0,
Girona,2721.0,268.0,356.0,1032.0,612.0,
Granada,9072.0,841.0,2923.0,4982.0,1828.0,
Huelva,2570.0,193.0,345.0,891.0,182.0,
Illes Balears (Les),2814.0,180.0,374.0,965.0,346.0,
Jaén,3350.0,281.0,365.0,1225.0,364.0,
Jaume I de Castellón,3222.0,413.0,574.0,1027.0,109.0,
La Laguna,3994.0,372.0,1046.0,2282.0,588.0,
La Rioja,1125.0,95.0,130.0,0.0,153.0,
Las Palmas de Gran Canaria,3956.0,655.0,808.0,1622.0,113.0,
León,1680.0,300.0,227.0,1007.0,549.0,
Lleida,1948.0,157.0,380.0,1630.0,218.0,
Málaga,7468.0,1285.0,1837.0,2641.0,907.0,
Miguel Hernández de Elche,912.0,216.0,237.0,1878.0,227.0,
Murcia,6476.0,182.0,1850.0,3564.0,1169.0,
Oviedo,3314.0,716.0,882.0,1416.0,700.0,
Pablo de Olavide,3292.0,32.0,752.0,154.0,314.0,
País Vasco/Euskal Herriko Unibertsitatea,7548.0,1687.0,1854.0,3930.0,1286.0,
Politécnica de Cartagena,141.0,616.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,3492.0,0.0,214.0,10.0,
Politécnica de Madrid,204.0,6240.0,0.0,0.0,29.0,
Politècnica de València,891.0,2993.0,1394.0,0.0,555.0,
Pompeu Fabra,3766.0,245.0,999.0,383.0,0.0,
Pública de Navarra,2145.0,506.0,0.0,469.0,41.0,
Rey Juan Carlos,12993.0,1386.0,1595.0,1820.0,529.0,
Rovira i Virgili,2871.0,372.0,346.0,1792.0,404.0,
Salamanca,4347.0,336.0,2214.0,2781.0,1065.0,
Santiago de Compostela,3643.0,286.0,1277.0,4060.0,879.0,
Sevilla,9074.0,2552.0,2561.0,4614.0,1332.0,
València (Estudi General),9936.0,289.0,2086.0,5805.0,1377.0,
Valladolid,4776.0,809.0,777.0,1698.0,494.0,
Vigo,3510.0,752.0,953.0,101.0,549.0,
Zaragoza,5909.0,886.0,1078.0,2592.0,1066.0,
Universidades Públicas No Presenciales,6446.0,138.0,1656.0,4509.0,402.0,
Nacional de Educación a Distancia,6446.0,138.0,1656.0,4509.0,402.0,
Universidades Privadas,34684.0,3001.0,2242.0,30880.0,1209.0,
Universidades Privadas Presenciales,28698.0,2921.0,1771.0,29384.0,1209.0,
Abat Oliba CEU,404.0,0.0,0.0,238.0,0.0,
Alfonso X El Sabio,137.0,61.0,101.0,2500.0,0.0,
Antonio de Nebrija,1252.0,107.0,158.0,94.0,0.0,
Atlántico Medio,131.0,0.0,2.0,0.0,0.0,
