
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,191.0,75.0,14.0,33.0,30.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,190.0,27.0,73.0,16.0,6.0,
Almería,62.0,22.0,13.0,75.0,6.0,
Autónoma de Barcelona,162.0,20.0,88.0,135.0,32.0,
Autónoma de Madrid,377.0,48.0,130.0,53.0,49.0,
Barcelona,614.0,33.0,394.0,168.0,82.0,
Burgos,31.0,9.0,1.0,3.0,8.0,
Cádiz,48.0,21.0,14.0,10.0,17.0,
Cantabria,52.0,38.0,9.0,16.0,2.0,
Carlos III de Madrid,293.0,117.0,35.0,0.0,1.0,
Castilla-La Mancha,102.0,63.0,27.0,8.0,1.0,
Complutense de Madrid,527.0,42.0,210.0,181.0,52.0,
Córdoba,79.0,22.0,42.0,56.0,7.0,
Extremadura,164.0,29.0,11.0,21.0,22.0,
Girona,91.0,3.0,14.0,41.0,6.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,52.0,14.0,13.0,31.0,1.0,
Illes Balears (Les),219.0,5.0,43.0,62.0,45.0,
Jaén,20.0,1.0,0.0,16.0,0.0,
Jaume I de Castellón,149.0,28.0,89.0,70.0,11.0,
La Laguna,39.0,3.0,17.0,32.0,27.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,109.0,4.0,23.0,2.0,6.0,
León,43.0,37.0,18.0,30.0,0.0,
Lleida,49.0,20.0,43.0,41.0,3.0,
Málaga,259.0,12.0,40.0,73.0,10.0,
Miguel Hernández de Elche,119.0,31.0,0.0,84.0,4.0,
Murcia,264.0,1.0,65.0,132.0,24.0,
Oviedo,18.0,13.0,0.0,0.0,0.0,
Pablo de Olavide,89.0,0.0,48.0,17.0,43.0,
País Vasco/Euskal Herriko Unibertsitatea,79.0,8.0,0.0,27.0,0.0,
Politécnica de Cartagena,18.0,35.0,0.0,0.0,0.0,
Politécnica de Catalunya,13.0,403.0,0.0,0.0,32.0,
Politécnica de Madrid,8.0,349.0,0.0,1.0,1.0,
Politècnica de València,78.0,306.0,128.0,29.0,24.0,
Pompeu Fabra,103.0,2.0,49.0,5.0,2.0,
Pública de Navarra,65.0,39.0,0.0,76.0,2.0,
Rey Juan Carlos,555.0,64.0,32.0,147.0,8.0,
Rovira i Virgili,105.0,24.0,18.0,79.0,5.0,
Salamanca,51.0,20.0,24.0,43.0,1.0,
Santiago de Compostela,221.0,45.0,40.0,85.0,34.0,
Sevilla,291.0,118.0,103.0,195.0,8.0,
València (Estudi General),499.0,23.0,95.0,193.0,31.0,
Valladolid,45.0,68.0,25.0,11.0,1.0,
Vigo,192.0,21.0,61.0,8.0,45.0,
Zaragoza,112.0,47.0,28.0,52.0,3.0,
Universidades Públicas No Presenciales,2270.0,123.0,787.0,297.0,74.0,
Nacional de Educación a Distancia,2270.0,123.0,787.0,297.0,74.0,
Universidades Públicas Especiales,200.0,0.0,146.0,0.0,4.0,
Internacional de Andalucía,12.0,0.0,6.0,0.0,3.0,
Internacional Menéndez Pelayo,188.0,0.0,140.0,0.0,1.0,
Universidades Privadas,8449.0,624.0,659.0,1911.0,54.0,
Universidades Privadas Presenciales,3366.0,307.0,254.0,993.0,51.0,
Abat Oliba CEU,73.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,84.0,21.0,0.0,0.0,0.0,
Antonio de Nebrija,509.0,10.0,165.0,0.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,738.0,0.0,0.0,37.0,0.0,
Cardenal Herrera-CEU,29.0,20.0,0.0,31.0,0.0,
Católica de Valencia San Vicente Mártir,60.0,12.0,7.0,55.0,0.0,
Católica San Antonio,134.0,6.0,0.0,508.0,0.0,
Católica Santa Teresa de Jesús de Ávila,24.0,25.0,3.0,0.0,8.0,
Deusto,216.0,18.0,7.0,79.0,0.0,
Europea de Canarias,0.0,0.0,0.0,0.0,0.0,
Europea de Madrid,23.0,19.0,0.0,75.0,0.0,
Europea de Valencia,2.0,2.0,0.0,0.0,0.0,
Europea del Atlántico,3.0,5.0,38.0,0.0,0.0,
Europea Miguel de Cervantes,8.0,0.0,0.0,0.0,0.0,
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,179.0,0.0,0.0,9.0,0.0,
IE Universidad,2.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,
Loyola Andalucía,91.0,0.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,97.0,7.0,0.0,0.0,0.0,
Navarra,42.0,24.0,0.0,36.0,0.0,
Pontificia Comillas,306.0,19.0,9.0,8.0,0.0,
Pontificia de Salamanca,2.0,0.0,0.0,21.0,0.0,
Ramón Llull,447.0,67.0,2.0,56.0,24.0,
San Jorge,2.0,0.0,0.0,18.0,0.0,
San Pablo-CEU,192.0,52.0,6.0,39.0,16.0,
Vic-Central de Catalunya,103.0,0.0,17.0,21.0,3.0,
Universidades Privadas No Presenciales,5083.0,317.0,405.0,918.0,3.0,
A Distancia de Madrid,978.0,15.0,0.0,57.0,0.0,
Internacional de La Rioja,1036.0,69.0,10.0,13.0,0.0,
Internacional Isabel I de Castilla,43.0,0.0,0.0,0.0,0.0,
Internacional Valenciana,155.0,0.0,13.0,61.0,3.0,
Oberta de Catalunya,2871.0,233.0,382.0,787.0,0.0,
Notas:
Fuente: Sistema Integral de Información Universitaria
