
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,178.0,298.0,15.0,9.0,23.0,
Alcalá,0.0,92.0,0.0,0.0,0.0,
Alicante,139.0,132.0,25.0,8.0,6.0,
Almería,103.0,80.0,8.0,35.0,12.0,
Autónoma de Barcelona,102.0,101.0,75.0,86.0,40.0,
Autónoma de Madrid,174.0,63.0,65.0,30.0,66.0,
Barcelona,470.0,51.0,206.0,82.0,95.0,
Burgos,43.0,51.0,2.0,1.0,8.0,
Cádiz,91.0,249.0,22.0,14.0,31.0,
Cantabria,51.0,175.0,18.0,4.0,9.0,
Carlos III de Madrid,200.0,531.0,13.0,0.0,6.0,
Castilla-La Mancha,150.0,138.0,35.0,5.0,14.0,
Complutense de Madrid,379.0,133.0,151.0,54.0,81.0,
Córdoba,108.0,112.0,10.0,16.0,5.0,
Extremadura,164.0,87.0,13.0,12.0,10.0,
Girona,66.0,31.0,7.0,23.0,2.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,60.0,60.0,11.0,39.0,8.0,
Illes Balears (Les),108.0,55.0,15.0,24.0,71.0,
Jaén,9.0,56.0,0.0,5.0,0.0,
Jaume I de Castellón,112.0,129.0,23.0,11.0,14.0,
La Laguna,65.0,33.0,8.0,14.0,38.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,107.0,43.0,13.0,3.0,7.0,
León,35.0,150.0,5.0,25.0,3.0,
Lleida,44.0,113.0,19.0,26.0,3.0,
Málaga,255.0,149.0,29.0,13.0,15.0,
Miguel Hernández de Elche,105.0,128.0,3.0,76.0,2.0,
Murcia,218.0,15.0,31.0,64.0,22.0,
Oviedo,32.0,143.0,2.0,0.0,13.0,
Pablo de Olavide,67.0,18.0,21.0,9.0,44.0,
País Vasco/Euskal Herriko Unibertsitatea,65.0,70.0,0.0,7.0,0.0,
Politécnica de Cartagena,26.0,166.0,0.0,0.0,0.0,
Politécnica de Catalunya,33.0,1507.0,0.0,0.0,35.0,
Politécnica de Madrid,31.0,1456.0,1.0,4.0,7.0,
Politècnica de València,74.0,1105.0,44.0,17.0,35.0,
Pompeu Fabra,68.0,33.0,34.0,1.0,0.0,
Pública de Navarra,51.0,120.0,0.0,6.0,3.0,
Rey Juan Carlos,757.0,165.0,41.0,64.0,10.0,
Rovira i Virgili,107.0,161.0,11.0,13.0,2.0,
Salamanca,88.0,56.0,35.0,10.0,11.0,
Santiago de Compostela,131.0,68.0,34.0,38.0,37.0,
Sevilla,248.0,571.0,111.0,77.0,39.0,
València (Estudi General),466.0,78.0,71.0,73.0,42.0,
Valladolid,43.0,189.0,6.0,0.0,0.0,
Vigo,113.0,109.0,22.0,2.0,41.0,
Zaragoza,149.0,163.0,11.0,22.0,20.0,
Universidades Públicas No Presenciales,1554.0,717.0,617.0,275.0,161.0,
Nacional de Educación a Distancia,1554.0,717.0,617.0,275.0,161.0,
Universidades Públicas Especiales,482.0,42.0,50.0,21.0,14.0,
Internacional de Andalucía,14.0,2.0,10.0,4.0,11.0,
Internacional Menéndez Pelayo,468.0,40.0,40.0,17.0,3.0,
Universidades Privadas,8949.0,3605.0,779.0,944.0,133.0,
Universidades Privadas Presenciales,3642.0,813.0,278.0,359.0,54.0,
Abat Oliba CEU,35.0,0.0,0.0,5.0,0.0,
Alfonso X El Sabio,94.0,102.0,2.0,3.0,0.0,
Antonio de Nebrija,883.0,7.0,59.0,0.0,0.0,
Atlántico Medio,137.0,0.0,0.0,0.0,0.0,
Camilo José Cela,89.0,0.0,0.0,11.0,0.0,
