
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,348.0,83.0,22.0,60.0,63.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,384.0,65.0,112.0,42.0,44.0,
Almería,350.0,21.0,35.0,117.0,21.0,
Autónoma de Barcelona,699.0,32.0,275.0,260.0,155.0,
Autónoma de Madrid,618.0,42.0,172.0,107.0,238.0,
Barcelona,838.0,46.0,315.0,450.0,318.0,
Burgos,106.0,17.0,4.0,16.0,17.0,
Cádiz,313.0,81.0,43.0,82.0,72.0,
Cantabria,142.0,104.0,18.0,48.0,8.0,
Carlos III de Madrid,602.0,136.0,74.0,0.0,2.0,
Castilla-La Mancha,459.0,55.0,45.0,45.0,39.0,
Complutense de Madrid,1275.0,49.0,450.0,355.0,273.0,
Córdoba,354.0,58.0,80.0,81.0,53.0,
Extremadura,482.0,25.0,39.0,19.0,16.0,
Girona,241.0,40.0,30.0,55.0,31.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,207.0,15.0,13.0,40.0,13.0,
Illes Balears (Les),266.0,5.0,22.0,104.0,69.0,
Jaén,35.0,9.0,0.0,18.0,0.0,
Jaume I de Castellón,246.0,22.0,121.0,102.0,35.0,
La Laguna,293.0,8.0,27.0,75.0,35.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,288.0,25.0,53.0,18.0,19.0,
León,181.0,21.0,17.0,107.0,8.0,
Lleida,140.0,35.0,39.0,88.0,7.0,
Málaga,742.0,51.0,105.0,80.0,40.0,
Miguel Hernández de Elche,402.0,36.0,5.0,494.0,23.0,
Murcia,542.0,1.0,60.0,244.0,66.0,
Oviedo,107.0,76.0,0.0,0.0,0.0,
Pablo de Olavide,438.0,2.0,90.0,42.0,73.0,
País Vasco/Euskal Herriko Unibertsitatea,202.0,128.0,0.0,38.0,0.0,
Politécnica de Cartagena,17.0,71.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,691.0,0.0,0.0,23.0,
Politécnica de Madrid,74.0,1017.0,0.0,14.0,23.0,
Politècnica de València,68.0,448.0,127.0,25.0,24.0,
Pompeu Fabra,253.0,26.0,85.0,135.0,12.0,
Pública de Navarra,112.0,56.0,0.0,18.0,6.0,
Rey Juan Carlos,1162.0,47.0,95.0,150.0,25.0,
Rovira i Virgili,203.0,31.0,49.0,95.0,32.0,
Salamanca,450.0,23.0,156.0,182.0,45.0,
Santiago de Compostela,390.0,47.0,93.0,141.0,63.0,
Sevilla,708.0,309.0,174.0,242.0,62.0,
València (Estudi General),831.0,30.0,139.0,423.0,117.0,
Valladolid,244.0,83.0,24.0,39.0,12.0,
Vigo,446.0,84.0,105.0,19.0,40.0,
Zaragoza,474.0,98.0,43.0,149.0,51.0,
Universidades Públicas No Presenciales,996.0,36.0,194.0,84.0,28.0,
Nacional de Educación a Distancia,996.0,36.0,194.0,84.0,28.0,
Universidades Públicas Especiales,379.0,7.0,82.0,84.0,43.0,
Internacional de Andalucía,50.0,4.0,7.0,27.0,16.0,
Internacional Menéndez Pelayo,329.0,3.0,75.0,57.0,27.0,
Universidades Privadas,16018.0,871.0,532.0,2754.0,63.0,
