
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,219.0,90.0,32.0,33.0,30.0,
Alcalá,0.0,30.0,0.0,0.0,0.0,
Alicante,186.0,47.0,74.0,23.0,5.0,
Almería,136.0,35.0,29.0,85.0,14.0,
Autónoma de Barcelona,190.0,48.0,74.0,170.0,34.0,
Autónoma de Madrid,367.0,34.0,137.0,73.0,70.0,
Barcelona,845.0,37.0,445.0,193.0,100.0,
Burgos,67.0,19.0,1.0,1.0,8.0,
Cádiz,154.0,69.0,33.0,15.0,26.0,
Cantabria,56.0,82.0,10.0,10.0,3.0,
Carlos III de Madrid,320.0,143.0,43.0,0.0,0.0,
Castilla-La Mancha,189.0,38.0,41.0,9.0,11.0,
Complutense de Madrid,670.0,40.0,260.0,189.0,100.0,
Córdoba,158.0,36.0,57.0,49.0,4.0,
Extremadura,247.0,25.0,24.0,12.0,5.0,
Girona,87.0,6.0,9.0,65.0,2.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,85.0,17.0,16.0,58.0,9.0,
Illes Balears (Les),173.0,11.0,30.0,40.0,73.0,
Jaén,21.0,10.0,0.0,27.0,0.0,
Jaume I de Castellón,186.0,37.0,117.0,85.0,11.0,
La Laguna,122.0,7.0,36.0,32.0,25.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,174.0,34.0,37.0,5.0,10.0,
León,38.0,61.0,12.0,82.0,3.0,
Lleida,101.0,38.0,39.0,68.0,0.0,
Málaga,413.0,48.0,71.0,33.0,20.0,
Miguel Hernández de Elche,160.0,43.0,8.0,152.0,2.0,
Murcia,329.0,2.0,50.0,127.0,27.0,
Oviedo,35.0,51.0,2.0,0.0,8.0,
Pablo de Olavide,119.0,5.0,62.0,23.0,51.0,
País Vasco/Euskal Herriko Unibertsitatea,92.0,23.0,0.0,38.0,0.0,
Politécnica de Cartagena,11.0,59.0,0.0,0.0,0.0,
Politécnica de Catalunya,17.0,489.0,0.0,0.0,25.0,
Politécnica de Madrid,62.0,799.0,1.0,1.0,10.0,
Politècnica de València,63.0,523.0,96.0,40.0,20.0,
Pompeu Fabra,146.0,17.0,55.0,7.0,2.0,
Pública de Navarra,59.0,36.0,0.0,38.0,5.0,
Rey Juan Carlos,1075.0,59.0,50.0,149.0,6.0,
Rovira i Virgili,134.0,35.0,16.0,90.0,3.0,
Salamanca,121.0,28.0,28.0,42.0,4.0,
Santiago de Compostela,216.0,39.0,55.0,85.0,43.0,
Sevilla,421.0,247.0,146.0,185.0,11.0,
València (Estudi General),596.0,36.0,105.0,177.0,41.0,
Valladolid,66.0,101.0,19.0,2.0,0.0,
Vigo,216.0,19.0,50.0,5.0,49.0,
Zaragoza,223.0,85.0,28.0,75.0,14.0,
Universidades Públicas No Presenciales,2110.0,186.0,633.0,354.0,100.0,
Nacional de Educación a Distancia,2110.0,186.0,633.0,354.0,100.0,
Universidades Públicas Especiales,440.0,7.0,96.0,68.0,11.0,
Internacional de Andalucía,22.0,1.0,7.0,5.0,4.0,
Internacional Menéndez Pelayo,418.0,6.0,89.0,63.0,7.0,
Universidades Privadas,14387.0,1403.0,1293.0,3484.0,74.0,
Universidades Privadas Presenciales,4374.0,379.0,574.0,1003.0,55.0,
Abat Oliba CEU,43.0,0.0,0.0,25.0,0.0,
Alfonso X El Sabio,109.0,25.0,0.0,5.0,0.0,
Antonio de Nebrija,1082.0,4.0,160.0,0.0,0.0,
Atlántico Medio,165.0,0.0,0.0,0.0,0.0,
