
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,163.0,228.0,10.0,11.0,29.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,297.0,122.0,55.0,23.0,46.0,
Almería,229.0,46.0,13.0,32.0,13.0,
Autónoma de Barcelona,430.0,72.0,126.0,67.0,173.0,
Autónoma de Madrid,347.0,59.0,90.0,37.0,213.0,
Barcelona,537.0,39.0,157.0,213.0,309.0,
Burgos,72.0,62.0,5.0,7.0,4.0,
Cádiz,181.0,205.0,20.0,24.0,69.0,
Cantabria,90.0,234.0,31.0,14.0,10.0,
Carlos III de Madrid,466.0,463.0,27.0,0.0,5.0,
Castilla-La Mancha,372.0,125.0,47.0,18.0,27.0,
Complutense de Madrid,866.0,96.0,280.0,107.0,269.0,
Córdoba,186.0,150.0,41.0,28.0,32.0,
Extremadura,267.0,53.0,26.0,16.0,10.0,
Girona,140.0,114.0,14.0,13.0,31.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,144.0,36.0,10.0,18.0,13.0,
Illes Balears (Les),161.0,20.0,15.0,22.0,47.0,
Jaén,25.0,62.0,0.0,6.0,0.0,
Jaume I de Castellón,127.0,50.0,51.0,27.0,42.0,
La Laguna,173.0,43.0,13.0,31.0,26.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,152.0,49.0,24.0,5.0,14.0,
León,163.0,82.0,8.0,29.0,11.0,
Lleida,71.0,108.0,12.0,27.0,6.0,
Málaga,463.0,191.0,51.0,46.0,49.0,
Miguel Hernández de Elche,276.0,109.0,3.0,243.0,14.0,
Murcia,321.0,18.0,45.0,61.0,53.0,
Oviedo,66.0,195.0,0.0,0.0,0.0,
Pablo de Olavide,257.0,8.0,52.0,35.0,58.0,
País Vasco/Euskal Herriko Unibertsitatea,143.0,316.0,0.0,3.0,0.0,
Politécnica de Cartagena,21.0,199.0,0.0,0.0,1.0,
Politécnica de Catalunya,0.0,1730.0,0.0,0.0,38.0,
Politécnica de Madrid,60.0,2112.0,0.0,18.0,8.0,
Politècnica de València,52.0,1175.0,72.0,21.0,22.0,
Pompeu Fabra,150.0,50.0,59.0,72.0,8.0,
Pública de Navarra,73.0,152.0,0.0,13.0,0.0,
Rey Juan Carlos,1107.0,120.0,61.0,68.0,20.0,
Rovira i Virgili,173.0,96.0,35.0,18.0,32.0,
Salamanca,273.0,37.0,92.0,57.0,57.0,
Santiago de Compostela,228.0,60.0,61.0,55.0,49.0,
Sevilla,392.0,670.0,141.0,87.0,71.0,
València (Estudi General),501.0,60.0,115.0,170.0,128.0,
Valladolid,153.0,167.0,21.0,14.0,13.0,
Vigo,268.0,256.0,31.0,7.0,31.0,
Zaragoza,309.0,198.0,24.0,68.0,73.0,
Universidades Públicas No Presenciales,689.0,140.0,162.0,31.0,30.0,
Nacional de Educación a Distancia,689.0,140.0,162.0,31.0,30.0,
Universidades Públicas Especiales,365.0,14.0,40.0,31.0,46.0,
Internacional de Andalucía,33.0,3.0,12.0,19.0,27.0,
Internacional Menéndez Pelayo,332.0,11.0,28.0,12.0,19.0,
Universidades Privadas,11218.0,2075.0,534.0,1161.0,92.0,
