Universidad,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Curso,Tipo_centro,Sexo,Dedicacion,Nivel
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Deusto,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
IE Universidad,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Navarra,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pontificia Comillas,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Ramón Llull,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
San Jorge,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
Notas:,,,,,,2017-2018,Centro adscrito,Hombres,Tiempo Completo,doctorado
A Coruña,201.0,292.0,41.0,70.0,57.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Alcalá,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Alicante,240.0,27.0,177.0,55.0,59.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Almería,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Autónoma de Barcelona,484.0,142.0,304.0,671.0,560.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Barcelona,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Burgos,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Cádiz,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Cantabria,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Carlos III de Madrid,261.0,447.0,62.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Castilla-La Mancha,2.0,211.0,129.0,104.0,45.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Complutense de Madrid,889.0,116.0,763.0,667.0,424.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Córdoba,262.0,232.0,119.0,86.0,120.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Extremadura,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
