Universidad,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Curso,Tipo_centro,Sexo,Dedicacion,Nivel
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
IE Universidad,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Navarra,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Pontificia Comillas,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Ramón Llull,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
San Jorge,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
Notas:,,,,,,2016-2017,Centro adscrito,Mujeres,Tiempo Completo,doctorado
A Coruña,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Alcalá,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Alicante,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Almería,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Autónoma de Barcelona,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Barcelona,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Burgos,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Cádiz,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Cantabria,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Complutense de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Córdoba,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Extremadura,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Girona,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Granada,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Huelva,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Illes Balears (Les),0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Jaén,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
La Laguna,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
La Rioja,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Las Palmas de Gran Canaria,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
León,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Lleida,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Málaga,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Miguel Hernández de Elche,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Murcia,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Oviedo,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pablo de Olavide,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
País Vasco/Euskal Herriko Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politécnica de Cartagena,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politécnica de Catalunya,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politécnica de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politècnica de València,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pompeu Fabra,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Rey Juan Carlos,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Rovira i Virgili,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Salamanca,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Santiago de Compostela,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
València (Estudi General),0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Vigo,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Zaragoza,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional Menéndez Pelayo,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Antonio de Nebrija,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Deusto,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
IE Universidad,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Navarra,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pontificia Comillas,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Ramón Llull,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
San Jorge,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
Notas:,,,,,,2019-2020,Centro adscrito,Hombres,Tiempo Completo,doctorado
A Coruña,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Alcalá,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Alicante,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Almería,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Autónoma de Barcelona,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Barcelona,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Burgos,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Cádiz,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Cantabria,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Complutense de Madrid,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Córdoba,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Extremadura,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Girona,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Granada,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Huelva,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Illes Balears (Les),0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Jaén,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
La Laguna,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
La Rioja,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Las Palmas de Gran Canaria,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
León,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Lleida,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Málaga,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Miguel Hernández de Elche,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Murcia,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Oviedo,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pablo de Olavide,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
País Vasco/Euskal Herriko Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politécnica de Cartagena,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politécnica de Catalunya,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politécnica de Madrid,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Politècnica de València,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pompeu Fabra,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Rey Juan Carlos,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Rovira i Virgili,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Salamanca,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Santiago de Compostela,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
València (Estudi General),0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Vigo,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Zaragoza,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional Menéndez Pelayo,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Antonio de Nebrija,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Deusto,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
IE Universidad,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Navarra,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pontificia Comillas,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Ramón Llull,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
San Jorge,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
Notas:,,,,,,2018-2019,Centro adscrito,Hombres,Tiempo Completo,doctorado
A Coruña,141.0,254.0,43.0,45.0,54.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Alcalá,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Alicante,206.0,24.0,157.0,34.0,66.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Almería,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Autónoma de Barcelona,424.0,146.0,261.0,559.0,444.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Barcelona,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Burgos,73.0,33.0,23.0,6.0,15.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Cádiz,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Cantabria,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Carlos III de Madrid,199.0,364.0,37.0,0.0,17.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Castilla-La Mancha,0.0,193.0,174.0,81.0,49.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Complutense de Madrid,728.0,97.0,635.0,463.0,327.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Córdoba,166.0,189.0,81.0,62.0,117.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Extremadura,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Girona,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Granada,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Huelva,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Illes Balears (Les),0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Jaén,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
La Laguna,86.0,49.0,65.0,66.0,108.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
La Rioja,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Las Palmas de Gran Canaria,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
León,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Lleida,56.0,77.0,34.0,48.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Málaga,152.0,196.0,93.0,140.0,111.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Miguel Hernández de Elche,22.0,69.0,0.0,93.0,31.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Murcia,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Oviedo,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Pablo de Olavide,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
País Vasco/Euskal Herriko Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Politécnica de Cartagena,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Politécnica de Catalunya,0.0,1079.0,0.0,0.0,116.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Politécnica de Madrid,66.0,1040.0,0.0,0.0,29.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Politècnica de València,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Pompeu Fabra,212.0,99.0,116.0,176.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Rey Juan Carlos,153.0,132.0,39.0,87.0,26.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Rovira i Virgili,84.0,149.0,108.0,61.0,83.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Salamanca,379.0,49.0,198.0,135.0,97.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Santiago de Compostela,217.0,115.0,179.0,237.0,198.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
València (Estudi General),387.0,63.0,204.0,467.0,206.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Vigo,139.0,190.0,59.0,9.0,157.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Zaragoza,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Internacional Menéndez Pelayo,27.0,0.0,0.0,0.0,9.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Abat Oliba CEU,13.0,0.0,7.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Antonio de Nebrija,0.0,10.0,3.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Católica de Valencia San Vicente Mártir,7.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Deusto,72.0,30.0,0.0,6.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Francisco de Vitoria,0.0,0.0,0.0,24.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
IE Universidad,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Internacional de Catalunya,9.0,9.0,0.0,24.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Mondragón Unibertsitatea,18.0,67.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Navarra,97.0,66.0,102.0,124.0,20.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Pontificia Comillas,21.0,0.0,18.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Pontificia de Salamanca,24.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Ramón Llull,44.0,19.0,6.0,0.0,30.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
San Jorge,0.0,0.0,0.0,11.0,9.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Vic-Central de Catalunya,20.0,0.0,10.0,10.0,24.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Internacional de La Rioja,8.0,0.0,0.0,0.0,0.0,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
Notas:,,,,,,2016-2017,Centro propio,Hombres,Tiempo Completo,doctorado
A Coruña,205.0,93.0,79.0,130.0,69.0,2018-2019,Centro propio,Mujeres,Tiempo Completo,doctorado
Alcalá,0.0,0.0,0.0,0.0,0.0,2018-2019,Centro propio,Mujeres,Tiempo Completo,doctorado
