
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,110.0,86.0,0.0,0.0,24.0,0.0,
Alcalá,236.0,169.0,0.0,0.0,67.0,0.0,
Alicante,20.0,20.0,0.0,0.0,0.0,0.0,
Almería,0.0,0.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,517.0,72.0,17.0,130.0,298.0,0.0,
Autónoma de Madrid,232.0,179.0,0.0,0.0,53.0,0.0,
Barcelona,199.0,75.0,0.0,50.0,74.0,0.0,
Burgos,21.0,21.0,0.0,0.0,0.0,0.0,
Cádiz,32.0,27.0,0.0,0.0,5.0,0.0,
Cantabria,52.0,25.0,0.0,2.0,25.0,0.0,
Carlos III de Madrid,1.0,0.0,1.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,375.0,324.0,0.0,7.0,44.0,0.0,
Córdoba,97.0,97.0,0.0,0.0,0.0,0.0,
Extremadura,28.0,23.0,5.0,0.0,0.0,0.0,
Girona,254.0,200.0,0.0,18.0,36.0,0.0,
Granada,81.0,81.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),97.0,89.0,0.0,0.0,8.0,0.0,
Jaén,52.0,52.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,0.0,
La Laguna,37.0,31.0,0.0,0.0,6.0,0.0,
La Rioja,8.0,0.0,0.0,0.0,8.0,0.0,
Las Palmas de Gran Canaria,27.0,27.0,0.0,0.0,0.0,0.0,
León,2.0,2.0,0.0,0.0,0.0,0.0,
Lleida,33.0,17.0,0.0,0.0,16.0,0.0,
Málaga,21.0,11.0,0.0,0.0,10.0,0.0,
Miguel Hernández de Elche,33.0,33.0,0.0,0.0,0.0,0.0,
Murcia,193.0,171.0,0.0,0.0,22.0,0.0,
Oviedo,130.0,65.0,0.0,0.0,65.0,0.0,
Pablo de Olavide,4.0,4.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,56.0,41.0,5.0,0.0,10.0,0.0,
Politécnica de Cartagena,6.0,0.0,6.0,0.0,0.0,0.0,
Politécnica de Catalunya,146.0,138.0,7.0,1.0,0.0,0.0,
Politécnica de Madrid,17.0,0.0,0.0,17.0,0.0,0.0,
Politècnica de València,19.0,0.0,19.0,0.0,0.0,0.0,
Pompeu Fabra,299.0,105.0,120.0,3.0,71.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,102.0,88.0,2.0,12.0,0.0,0.0,
Rovira i Virgili,20.0,0.0,0.0,0.0,20.0,0.0,
Salamanca,53.0,37.0,1.0,0.0,15.0,0.0,
Santiago de Compostela,82.0,69.0,0.0,0.0,13.0,0.0,
Sevilla,280.0,236.0,0.0,0.0,44.0,0.0,
València (Estudi General),222.0,195.0,0.0,0.0,27.0,0.0,
