
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
Rey Juan Carlos,16737.0,12183.0,1212.0,1099.0,1757.0,486.0,
Rovira i Virgili,5701.0,2863.0,331.0,324.0,1777.0,406.0,
Salamanca,10605.0,4325.0,409.0,2068.0,2779.0,1024.0,
Santiago de Compostela,10103.0,3744.0,301.0,1194.0,3994.0,870.0,
Sevilla,20729.0,9443.0,2752.0,2533.0,4636.0,1365.0,
València (Estudi General),18917.0,9802.0,236.0,1997.0,5549.0,1333.0,
Valladolid,8691.0,4842.0,927.0,823.0,1650.0,449.0,
Vigo,6018.0,3585.0,833.0,934.0,108.0,558.0,
Zaragoza,11780.0,6068.0,918.0,1090.0,2659.0,1045.0,
Universidades Públicas No Presenciales,14857.0,7023.0,146.0,1882.0,5371.0,435.0,
Nacional de Educación a Distancia,14857.0,7023.0,146.0,1882.0,5371.0,435.0,
Universidades Privadas,65272.0,33378.0,2594.0,1626.0,26464.0,1210.0,
Universidades Privadas Presenciales,57953.0,27564.0,2544.0,1397.0,25238.0,1210.0,
Abat Oliba CEU,640.0,450.0,0.0,0.0,190.0,0.0,
Alfonso X El Sabio,2723.0,140.0,56.0,80.0,2446.0,1.0,
Antonio de Nebrija,871.0,687.0,105.0,79.0,0.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,2932.0,2685.0,16.0,23.0,208.0,0.0,
Cardenal Herrera-CEU,3859.0,942.0,72.0,0.0,2845.0,0.0,
Católica de Valencia San Vicente Mártir,4813.0,1908.0,0.0,7.0,2703.0,195.0,
Católica San Antonio,3842.0,1634.0,80.0,34.0,2064.0,30.0,
Católica Santa Teresa de Jesús de Ávila,330.0,76.0,26.0,0.0,226.0,2.0,
Deusto,3808.0,2805.0,128.0,314.0,561.0,0.0,
Europea de Canarias,119.0,95.0,12.0,0.0,12.0,0.0,
Europea de Madrid,3237.0,942.0,185.0,101.0,1958.0,51.0,
Europea de Valencia,542.0,122.0,9.0,37.0,374.0,0.0,
Europea del Atlántico,483.0,296.0,24.0,57.0,106.0,0.0,
Europea Miguel de Cervantes,401.0,120.0,17.0,0.0,258.0,6.0,
Fernando Pessoa-Canarias (UFP-C),153.0,0.0,0.0,0.0,153.0,0.0,
Francisco de Vitoria,2827.0,920.0,47.0,183.0,1483.0,194.0,
IE Universidad,477.0,416.0,61.0,0.0,0.0,0.0,
Internacional de Catalunya,1755.0,569.0,45.0,14.0,1127.0,0.0,
Loyola Andalucía,971.0,737.0,21.0,0.0,213.0,0.0,
Mondragón Unibertsitatea,1357.0,1008.0,349.0,0.0,0.0,0.0,
Navarra,4169.0,1596.0,445.0,156.0,1634.0,338.0,
Pontificia Comillas,3492.0,2276.0,309.0,127.0,780.0,0.0,
Pontificia de Salamanca,2160.0,999.0,7.0,1.0,1153.0,0.0,
Ramón Llull,5146.0,3541.0,302.0,58.0,1153.0,92.0,
San Jorge,934.0,202.0,29.0,0.0,703.0,0.0,
San Pablo-CEU,3437.0,1473.0,167.0,49.0,1659.0,89.0,
Vic-Central de Catalunya,2475.0,925.0,32.0,77.0,1229.0,212.0,
Universidades Privadas No Presenciales,7319.0,5814.0,50.0,229.0,1226.0,0.0,
A Distancia de Madrid,475.0,385.0,9.0,9.0,72.0,0.0,
Internacional de La Rioja,3037.0,2964.0,9.0,64.0,0.0,0.0,
Internacional Isabel I de Castilla,854.0,418.0,2.0,0.0,434.0,0.0,
Internacional Valenciana,549.0,421.0,0.0,66.0,62.0,0.0,
Oberta de Catalunya,2404.0,1626.0,30.0,90.0,658.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
