
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,5421.0,2751.0,1106.0,320.0,877.0,367.0,
Alcalá,6454.0,2505.0,509.0,748.0,2071.0,621.0,
Alicante,10591.0,6781.0,728.0,1346.0,1023.0,713.0,
Almería,4917.0,3040.0,229.0,386.0,940.0,322.0,
Autónoma de Barcelona,13285.0,5668.0,218.0,2036.0,3665.0,1698.0,
Autónoma de Madrid,10997.0,4362.0,270.0,2052.0,2677.0,1636.0,
Barcelona,20419.0,9386.0,277.0,3009.0,5686.0,2061.0,
Burgos,2834.0,1794.0,226.0,108.0,614.0,92.0,
Cádiz,7785.0,4327.0,526.0,696.0,1595.0,641.0,
Cantabria,3158.0,1855.0,423.0,50.0,729.0,101.0,
Carlos III de Madrid,5614.0,4490.0,1076.0,48.0,0.0,0.0,
Castilla-La Mancha,10412.0,5631.0,738.0,791.0,2746.0,506.0,
Complutense de Madrid,28412.0,13376.0,573.0,4299.0,7784.0,2380.0,
Córdoba,6758.0,3077.0,278.0,993.0,1448.0,962.0,
Extremadura,8061.0,4151.0,502.0,370.0,2333.0,705.0,
Girona,4983.0,2715.0,250.0,354.0,1036.0,628.0,
Granada,20055.0,9280.0,916.0,2964.0,5022.0,1873.0,
Huelva,4326.0,2637.0,206.0,410.0,882.0,191.0,
Illes Balears (Les),4698.0,2918.0,154.0,425.0,847.0,354.0,
Jaén,5686.0,3319.0,308.0,395.0,1272.0,392.0,
Jaume I de Castellón,5331.0,3259.0,429.0,588.0,958.0,97.0,
La Laguna,8347.0,4030.0,429.0,1000.0,2347.0,541.0,
La Rioja,1598.0,1186.0,125.0,144.0,0.0,143.0,
Las Palmas de Gran Canaria,7594.0,4209.0,808.0,855.0,1596.0,126.0,
León,3995.0,1756.0,333.0,253.0,1033.0,620.0,
Lleida,3943.0,1801.0,139.0,319.0,1499.0,185.0,
Málaga,14115.0,7445.0,1261.0,1906.0,2563.0,940.0,
Miguel Hernández de Elche,3474.0,956.0,223.0,201.0,1873.0,221.0,
Murcia,13408.0,6539.0,166.0,1985.0,3579.0,1139.0,
Oviedo,7455.0,3427.0,849.0,1018.0,1453.0,708.0,
Pablo de Olavide,4416.0,3194.0,14.0,735.0,168.0,305.0,
País Vasco/Euskal Herriko Unibertsitatea,16370.0,7490.0,1820.0,1861.0,3896.0,1303.0,
Politécnica de Cartagena,825.0,174.0,651.0,0.0,0.0,0.0,
Politécnica de Catalunya,3708.0,0.0,3471.0,0.0,231.0,6.0,
Politécnica de Madrid,6638.0,160.0,6478.0,0.0,0.0,0.0,
Politècnica de València,5118.0,712.0,2782.0,1132.0,0.0,492.0,
Pompeu Fabra,5271.0,3659.0,176.0,1031.0,405.0,0.0,
Pública de Navarra,3090.0,2138.0,503.0,0.0,449.0,0.0,
