Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,38.0,0.0,0.0,4.0,0.0,
Alcalá,26.0,0.0,0.0,5.0,0.0,
Alicante,9.0,0.0,0.0,0.0,0.0,
Almería,18.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,110.0,222.0,39.0,182.0,0.0,
Autónoma de Madrid,35.0,0.0,0.0,32.0,0.0,
Barcelona,60.0,6.0,37.0,91.0,0.0,
Burgos,22.0,0.0,0.0,0.0,0.0,
Cádiz,11.0,0.0,0.0,4.0,0.0,
Cantabria,7.0,0.0,3.0,5.0,0.0,
Carlos III de Madrid,0.0,1.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,217.0,0.0,25.0,16.0,0.0,
Córdoba,54.0,0.0,0.0,0.0,0.0,
Extremadura,15.0,41.0,0.0,0.0,0.0,
Girona,122.0,0.0,2.0,87.0,0.0,
Granada,55.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),52.0,0.0,0.0,0.0,0.0,
Jaén,28.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,16.0,0.0,0.0,3.0,0.0,
La Rioja,0.0,0.0,0.0,3.0,0.0,
Las Palmas de Gran Canaria,15.0,0.0,0.0,0.0,0.0,
León,1.0,0.0,0.0,0.0,0.0,
Lleida,13.0,0.0,0.0,90.0,0.0,
Málaga,5.0,0.0,0.0,9.0,0.0,
Miguel Hernández de Elche,34.0,0.0,0.0,0.0,0.0,
Murcia,62.0,0.0,0.0,6.0,0.0,
Oviedo,36.0,0.0,0.0,10.0,0.0,
Pablo de Olavide,1.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,50.0,6.0,0.0,5.0,0.0,
Politécnica de Cartagena,0.0,126.0,0.0,0.0,0.0,
Politécnica de Catalunya,212.0,830.0,0.0,0.0,0.0,
Politécnica de Madrid,0.0,0.0,0.0,0.0,0.0,
Politècnica de València,0.0,118.0,0.0,0.0,0.0,
Pompeu Fabra,97.0,121.0,0.0,28.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,137.0,0.0,6.0,0.0,0.0,
Rovira i Virgili,0.0,23.0,0.0,15.0,0.0,
Salamanca,12.0,15.0,0.0,3.0,0.0,
Santiago de Compostela,29.0,0.0,0.0,4.0,0.0,
Sevilla,129.0,0.0,0.0,20.0,0.0,
València (Estudi General),59.0,0.0,0.0,11.0,0.0,
Valladolid,0.0,38.0,0.0,4.0,0.0,
Vigo,15.0,164.0,0.0,6.0,0.0,
Zaragoza,23.0,460.0,0.0,9.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,146.0,24.0,140.0,43.0,0.0,
Universidades Privadas Presenciales,146.0,24.0,140.0,43.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,0.0,0.0,0.0,14.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,0.0,6.0,67.0,0.0,0.0,
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,
Católica Santa Teresa de Jesús de Ávila,40.0,0.0,0.0,0.0,0.0,
Deusto,37.0,0.0,0.0,0.0,0.0,
Europea de Canarias,0.0,0.0,0.0,0.0,0.0,
Europea de Madrid,21.0,18.0,1.0,29.0,0.0,
Europea de Valencia,0.0,0.0,0.0,0.0,0.0,
Europea del Atlántico,0.0,0.0,0.0,0.0,0.0,
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,
IE Universidad,7.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,23.0,0.0,0.0,0.0,0.0,
Navarra,0.0,0.0,0.0,0.0,0.0,
Pontificia Comillas,10.0,0.0,0.0,0.0,0.0,
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,
Ramón Llull,0.0,0.0,40.0,0.0,0.0,
San Jorge,0.0,0.0,0.0,0.0,0.0,
San Pablo-CEU,5.0,0.0,0.0,0.0,0.0,
Vic-Central de Catalunya,3.0,0.0,32.0,0.0,0.0,
Universidades Privadas No Presenciales,0.0,0.0,0.0,0.0,0.0,
A Distancia de Madrid,0.0,0.0,0.0,0.0,0.0,
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,
Internacional Isabel I de Castilla,0.0,0.0,0.0,0.0,0.0,
Internacional Valenciana,0.0,0.0,0.0,0.0,0.0,
Oberta de Catalunya,0.0,0.0,0.0,0.0,0.0,
Notas:,,,,,,
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades,,,,,,
