Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,609.0,383.0,63.0,71.0,61.0,
Alcalá,458.0,144.0,128.0,168.0,155.0,
Alicante,1386.0,302.0,243.0,88.0,176.0,
Almería,563.0,98.0,82.0,136.0,76.0,
Autónoma de Barcelona,933.0,49.0,511.0,435.0,275.0,
Autónoma de Madrid,505.0,62.0,378.0,251.0,314.0,
Barcelona,2100.0,55.0,1220.0,889.0,454.0,
Burgos,364.0,94.0,158.0,81.0,9.0,
Cádiz,1245.0,292.0,234.0,86.0,179.0,
Cantabria,528.0,150.0,11.0,47.0,15.0,
Carlos III de Madrid,701.0,231.0,22.0,0.0,0.0,
Castilla-La Mancha,1143.0,238.0,179.0,195.0,96.0,
Complutense de Madrid,2075.0,150.0,910.0,848.0,421.0,
Córdoba,674.0,106.0,147.0,152.0,157.0,
Extremadura,1068.0,248.0,92.0,142.0,265.0,
Girona,507.0,88.0,102.0,55.0,144.0,
Granada,2514.0,425.0,1089.0,998.0,575.0,
Huelva,858.0,130.0,103.0,98.0,49.0,
Illes Balears (Les),1072.0,74.0,190.0,200.0,106.0,
Jaén,608.0,127.0,93.0,115.0,59.0,
Jaume I de Castellón,764.0,187.0,118.0,122.0,35.0,
La Laguna,727.0,134.0,242.0,179.0,108.0,
La Rioja,165.0,31.0,13.0,0.0,31.0,
Las Palmas de Gran Canaria,1106.0,215.0,208.0,90.0,10.0,
León,448.0,135.0,84.0,85.0,87.0,
Lleida,294.0,69.0,69.0,91.0,23.0,
Málaga,1502.0,299.0,465.0,243.0,180.0,
Miguel Hernández de Elche,537.0,113.0,54.0,413.0,70.0,
Murcia,1635.0,54.0,438.0,556.0,251.0,
Oviedo,881.0,315.0,295.0,170.0,149.0,
Pablo de Olavide,477.0,9.0,138.0,27.0,49.0,
País Vasco/Euskal Herriko Unibertsitatea,1651.0,469.0,336.0,278.0,171.0,
Politécnica de Cartagena,95.0,297.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,1514.0,0.0,69.0,1.0,
Politécnica de Madrid,53.0,1927.0,0.0,0.0,4.0,
Politècnica de València,242.0,833.0,242.0,0.0,99.0,
Pompeu Fabra,581.0,60.0,241.0,22.0,0.0,
Pública de Navarra,306.0,92.0,0.0,45.0,1.0,
Rey Juan Carlos,4570.0,414.0,244.0,176.0,158.0,
Rovira i Virgili,533.0,117.0,171.0,150.0,60.0,
Salamanca,591.0,159.0,306.0,257.0,150.0,
Santiago de Compostela,754.0,98.0,289.0,423.0,171.0,
Sevilla,2417.0,973.0,824.0,550.0,309.0,
València (Estudi General),1592.0,88.0,550.0,781.0,356.0,
Valladolid,900.0,283.0,173.0,101.0,86.0,
Vigo,770.0,258.0,156.0,7.0,104.0,
Zaragoza,1340.0,183.0,296.0,172.0,136.0,
Universidades Públicas No Presenciales,25363.0,837.0,12578.0,15034.0,2477.0,
Nacional de Educación a Distancia,25363.0,837.0,12578.0,15034.0,2477.0,
Universidades Privadas,25352.0,1692.0,3147.0,9074.0,295.0,
Universidades Privadas Presenciales,7389.0,1005.0,735.0,3016.0,295.0,
Abat Oliba CEU,309.0,0.0,0.0,40.0,0.0,
Alfonso X El Sabio,23.0,55.0,18.0,128.0,0.0,
Antonio de Nebrija,312.0,41.0,26.0,5.0,0.0,
Atlántico Medio,1.0,0.0,0.0,0.0,0.0,
Camilo José Cela,1224.0,9.0,3.0,43.0,0.0,
Cardenal Herrera-CEU,214.0,31.0,0.0,229.0,0.0,
Católica de Valencia San Vicente Mártir,400.0,0.0,3.0,304.0,25.0,
Católica San Antonio,858.0,81.0,5.0,360.0,87.0,
