Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,577.0,337.0,51.0,77.0,40.0,
Alcalá,433.0,156.0,131.0,130.0,133.0,
Alicante,1350.0,269.0,240.0,105.0,121.0,
Almería,582.0,84.0,70.0,104.0,60.0,
Autónoma de Barcelona,969.0,47.0,552.0,438.0,314.0,
Autónoma de Madrid,511.0,60.0,345.0,266.0,284.0,
Barcelona,2221.0,75.0,1278.0,980.0,521.0,
Burgos,351.0,175.0,106.0,76.0,13.0,
Cádiz,1106.0,256.0,209.0,85.0,130.0,
Cantabria,526.0,171.0,24.0,43.0,20.0,
Carlos III de Madrid,759.0,201.0,17.0,0.0,0.0,
Castilla-La Mancha,1400.0,274.0,230.0,213.0,128.0,
Complutense de Madrid,2112.0,133.0,874.0,878.0,480.0,
Córdoba,584.0,112.0,188.0,144.0,161.0,
Extremadura,1261.0,297.0,103.0,164.0,233.0,
Girona,476.0,91.0,117.0,52.0,111.0,
Granada,2439.0,426.0,1018.0,802.0,381.0,
Huelva,932.0,117.0,75.0,116.0,48.0,
Illes Balears (Les),1223.0,77.0,186.0,202.0,104.0,
Jaén,635.0,116.0,74.0,145.0,62.0,
Jaume I de Castellón,863.0,166.0,128.0,133.0,39.0,
La Laguna,784.0,150.0,235.0,167.0,117.0,
La Rioja,160.0,20.0,21.0,0.0,23.0,
Las Palmas de Gran Canaria,1140.0,209.0,191.0,122.0,23.0,
León,417.0,179.0,115.0,77.0,90.0,
Lleida,373.0,52.0,67.0,94.0,47.0,
Málaga,1326.0,278.0,360.0,208.0,154.0,
Miguel Hernández de Elche,415.0,100.0,51.0,322.0,50.0,
Murcia,1563.0,53.0,499.0,505.0,260.0,
Oviedo,871.0,293.0,224.0,212.0,153.0,
Pablo de Olavide,494.0,8.0,116.0,30.0,54.0,
País Vasco/Euskal Herriko Unibertsitatea,1579.0,463.0,327.0,286.0,164.0,
Politécnica de Cartagena,134.0,348.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,1525.0,0.0,75.0,4.0,
Politécnica de Madrid,52.0,1905.0,0.0,0.0,0.0,
Politècnica de València,324.0,1179.0,285.0,0.0,105.0,
Pompeu Fabra,591.0,47.0,198.0,28.0,0.0,
Pública de Navarra,300.0,73.0,0.0,34.0,0.0,
Rey Juan Carlos,4144.0,309.0,119.0,187.0,166.0,
Rovira i Virgili,538.0,93.0,143.0,158.0,43.0,
Salamanca,586.0,188.0,304.0,260.0,122.0,
Santiago de Compostela,784.0,96.0,260.0,356.0,163.0,
Sevilla,2289.0,1053.0,706.0,566.0,319.0,
València (Estudi General),1729.0,92.0,602.0,763.0,351.0,
Valladolid,1005.0,261.0,151.0,96.0,116.0,
Vigo,845.0,194.0,173.0,10.0,86.0,
Zaragoza,1414.0,179.0,294.0,164.0,140.0,
Universidades Públicas No Presenciales,26758.0,887.0,13441.0,16304.0,2369.0,
Nacional de Educación a Distancia,26758.0,887.0,13441.0,16304.0,2369.0,
Universidades Privadas,22911.0,1541.0,2048.0,7609.0,242.0,
Universidades Privadas Presenciales,6445.0,1050.0,584.0,2575.0,242.0,
Abat Oliba CEU,119.0,0.0,0.0,45.0,0.0,
Alfonso X El Sabio,12.0,35.0,14.0,141.0,1.0,
