Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,76.0,0.0,0.0,16.0,0.0,
Alcalá,158.0,0.0,0.0,45.0,0.0,
Alicante,25.0,0.0,0.0,0.0,0.0,
Almería,35.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,96.0,22.0,133.0,311.0,0.0,
Autónoma de Madrid,169.0,0.0,0.0,67.0,0.0,
Barcelona,71.0,1.0,77.0,68.0,0.0,
Burgos,24.0,0.0,0.0,0.0,0.0,
Cádiz,29.0,0.0,0.0,2.0,0.0,
Cantabria,30.0,0.0,3.0,18.0,0.0,
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,320.0,0.0,30.0,37.0,0.0,
Córdoba,82.0,0.0,0.0,0.0,0.0,
Extremadura,25.0,2.0,0.0,0.0,0.0,
Girona,203.0,0.0,6.0,37.0,0.0,
Granada,97.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),97.0,0.0,0.0,3.0,0.0,
Jaén,77.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,17.0,0.0,0.0,3.0,0.0,
La Rioja,0.0,0.0,0.0,9.0,0.0,
Las Palmas de Gran Canaria,31.0,0.0,0.0,0.0,0.0,
León,3.0,0.0,0.0,0.0,0.0,
Lleida,25.0,0.0,0.0,9.0,0.0,
Málaga,23.0,0.0,0.0,6.0,0.0,
Miguel Hernández de Elche,20.0,0.0,0.0,0.0,0.0,
Murcia,187.0,0.0,0.0,18.0,0.0,
