
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
A Coruña,5262.0,2847.0,887.0,330.0,852.0,346.0,
Alcalá,6671.0,2473.0,549.0,793.0,2097.0,759.0,
Alicante,10425.0,6849.0,715.0,1189.0,977.0,695.0,
Almería,4936.0,3000.0,216.0,353.0,925.0,442.0,
Autónoma de Barcelona,13764.0,5855.0,278.0,2138.0,3693.0,1800.0,
Autónoma de Madrid,11021.0,4458.0,301.0,2080.0,2573.0,1609.0,
Barcelona,20758.0,9361.0,337.0,3001.0,5880.0,2179.0,
Burgos,2709.0,1704.0,228.0,124.0,566.0,87.0,
Cádiz,7479.0,4078.0,463.0,652.0,1665.0,621.0,
Cantabria,3099.0,1724.0,389.0,61.0,769.0,156.0,
Carlos III de Madrid,6430.0,5182.0,1193.0,55.0,0.0,0.0,
Castilla-La Mancha,10911.0,5547.0,776.0,700.0,3339.0,549.0,
Complutense de Madrid,27555.0,12791.0,605.0,4140.0,7656.0,2363.0,
Córdoba,6617.0,2724.0,247.0,1078.0,1628.0,940.0,
Extremadura,7694.0,4029.0,372.0,318.0,2265.0,710.0,
Girona,5094.0,2779.0,316.0,371.0,1036.0,592.0,
Granada,20110.0,9367.0,838.0,2977.0,5065.0,1863.0,
Huelva,4064.0,2532.0,175.0,308.0,879.0,170.0,
Illes Balears (Les),4786.0,2818.0,201.0,394.0,1009.0,364.0,
Jaén,5364.0,3197.0,262.0,341.0,1215.0,349.0,
Jaume I de Castellón,5133.0,2938.0,464.0,543.0,1084.0,104.0,
La Laguna,8188.0,3935.0,369.0,1091.0,2222.0,571.0,
La Rioja,1518.0,1108.0,109.0,135.0,0.0,166.0,
Las Palmas de Gran Canaria,6913.0,3806.0,601.0,752.0,1641.0,113.0,
León,3734.0,1657.0,291.0,210.0,1034.0,542.0,
Lleida,4351.0,1929.0,188.0,412.0,1623.0,199.0,
Málaga,14044.0,7301.0,1293.0,1901.0,2665.0,884.0,
Miguel Hernández de Elche,3418.0,873.0,226.0,234.0,1868.0,217.0,
Murcia,13320.0,6484.0,185.0,1837.0,3645.0,1169.0,
Oviedo,6862.0,3232.0,669.0,878.0,1408.0,675.0,
Pablo de Olavide,4642.0,3369.0,37.0,776.0,145.0,315.0,
