
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
País Vasco/Euskal Herriko Unibertsitatea,16346.0,7569.0,1702.0,1909.0,3909.0,1257.0,
Politécnica de Cartagena,760.0,153.0,607.0,0.0,0.0,0.0,
Politécnica de Catalunya,3806.0,0.0,3590.0,0.0,205.0,11.0,
Politécnica de Madrid,6487.0,201.0,6243.0,0.0,0.0,43.0,
Politècnica de València,6091.0,914.0,3114.0,1527.0,0.0,536.0,
Pompeu Fabra,5385.0,3722.0,273.0,995.0,395.0,0.0,
Pública de Navarra,3361.0,2169.0,527.0,20.0,565.0,80.0,
Rey Juan Carlos,18024.0,12513.0,1441.0,1742.0,1831.0,497.0,
Rovira i Virgili,5863.0,2887.0,446.0,367.0,1768.0,395.0,
Salamanca,10879.0,4440.0,305.0,2279.0,2765.0,1090.0,
Santiago de Compostela,10285.0,3690.0,287.0,1321.0,4069.0,918.0,
Sevilla,19712.0,8840.0,2523.0,2437.0,4600.0,1312.0,
València (Estudi General),19557.0,10049.0,293.0,2083.0,5761.0,1371.0,
Valladolid,8612.0,4867.0,823.0,766.0,1662.0,494.0,
Vigo,5857.0,3520.0,767.0,917.0,109.0,544.0,
Zaragoza,11624.0,5962.0,922.0,1075.0,2614.0,1051.0,
Universidades Públicas No Presenciales,12688.0,6218.0,129.0,1635.0,4305.0,401.0,
Nacional de Educación a Distancia,12688.0,6218.0,129.0,1635.0,4305.0,401.0,
Universidades Privadas,76779.0,37390.0,3282.0,2387.0,32426.0,1294.0,
Universidades Privadas Presenciales,68307.0,31059.0,3155.0,1837.0,30962.0,1294.0,
Abat Oliba CEU,633.0,398.0,0.0,0.0,235.0,0.0,
Alfonso X El Sabio,2842.0,147.0,62.0,68.0,2565.0,0.0,
Antonio de Nebrija,2175.0,1728.0,102.0,208.0,137.0,0.0,
Atlántico Medio,116.0,113.0,0.0,3.0,0.0,0.0,
Camilo José Cela,2486.0,2174.0,15.0,22.0,275.0,0.0,
Cardenal Herrera-CEU,4670.0,1040.0,86.0,0.0,3544.0,0.0,
Católica de Valencia San Vicente Mártir,4991.0,1984.0,0.0,11.0,2770.0,226.0,
Católica San Antonio,4262.0,1417.0,54.0,77.0,2685.0,29.0,
Católica Santa Teresa de Jesús de Ávila,728.0,336.0,18.0,0.0,372.0,2.0,
Deusto,3964.0,2912.0,189.0,286.0,577.0,0.0,
Europea de Canarias,263.0,142.0,14.0,0.0,107.0,0.0,
Europea de Madrid,3672.0,771.0,197.0,82.0,2529.0,93.0,
Europea de Valencia,1016.0,202.0,16.0,32.0,766.0,0.0,
Europea del Atlántico,805.0,500.0,53.0,82.0,170.0,0.0,
Europea Miguel de Cervantes,907.0,279.0,37.0,0.0,591.0,0.0,
Fernando Pessoa-Canarias (UFP-C),444.0,19.0,0.0,0.0,425.0,0.0,
Francisco de Vitoria,4107.0,1471.0,101.0,305.0,2029.0,201.0,
IE Universidad,794.0,668.0,86.0,40.0,0.0,0.0,
Internacional de Catalunya,2304.0,742.0,129.0,41.0,1392.0,0.0,
Loyola Andalucía,1381.0,1014.0,30.0,0.0,337.0,0.0,
Mondragón Unibertsitatea,1731.0,1292.0,439.0,0.0,0.0,0.0,
Navarra,4755.0,1921.0,585.0,194.0,1685.0,370.0,
Pontificia Comillas,3660.0,2457.0,317.0,131.0,755.0,0.0,
Pontificia de Salamanca,2007.0,969.0,11.0,0.0,1027.0,0.0,
Ramón Llull,5726.0,3774.0,344.0,167.0,1315.0,126.0,
San Jorge,1026.0,182.0,30.0,16.0,798.0,0.0,
San Pablo-CEU,3878.0,1517.0,210.0,72.0,1988.0,91.0,
Vic-Central de Catalunya,2964.0,890.0,30.0,0.0,1888.0,156.0,
Universidades Privadas No Presenciales,8472.0,6331.0,127.0,550.0,1464.0,0.0,
A Distancia de Madrid,557.0,476.0,15.0,5.0,61.0,0.0,
Internacional de La Rioja,2819.0,2696.0,32.0,91.0,0.0,0.0,
Internacional Isabel I de Castilla,669.0,289.0,5.0,0.0,375.0,0.0,
Internacional Valenciana,933.0,694.0,6.0,120.0,113.0,0.0,
Oberta de Catalunya,3494.0,2176.0,69.0,334.0,915.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
