
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,1334.0,463.0,783.0,19.0,42.0,27.0,
Alcalá,1129.0,340.0,535.0,72.0,97.0,85.0,
Alicante,1908.0,880.0,720.0,135.0,45.0,128.0,
Almería,1023.0,471.0,361.0,61.0,62.0,68.0,
Autónoma de Barcelona,1828.0,740.0,343.0,258.0,155.0,332.0,
Autónoma de Madrid,1349.0,536.0,239.0,209.0,90.0,275.0,
Barcelona,3473.0,1644.0,188.0,754.0,315.0,572.0,
Burgos,805.0,265.0,375.0,137.0,15.0,13.0,
Cádiz,2353.0,880.0,1107.0,119.0,68.0,179.0,
Cantabria,918.0,314.0,500.0,29.0,29.0,46.0,
Carlos III de Madrid,1452.0,613.0,821.0,18.0,0.0,0.0,
Castilla-La Mancha,2001.0,873.0,833.0,145.0,73.0,77.0,
Complutense de Madrid,3195.0,1516.0,411.0,484.0,314.0,470.0,
Córdoba,1316.0,452.0,570.0,91.0,76.0,127.0,
Extremadura,1974.0,904.0,763.0,72.0,69.0,166.0,
Girona,1029.0,320.0,484.0,105.0,30.0,90.0,
Granada,4161.0,1709.0,1075.0,544.0,436.0,397.0,
Huelva,1283.0,570.0,547.0,86.0,40.0,40.0,
Illes Balears (Les),1358.0,683.0,394.0,111.0,88.0,82.0,
Jaén,1266.0,505.0,591.0,66.0,56.0,48.0,
Jaume I de Castellón,1155.0,531.0,479.0,55.0,53.0,37.0,
La Laguna,1365.0,489.0,477.0,171.0,94.0,134.0,
La Rioja,198.0,69.0,80.0,12.0,0.0,37.0,
Las Palmas de Gran Canaria,1389.0,755.0,466.0,93.0,54.0,21.0,
León,1074.0,336.0,551.0,86.0,40.0,61.0,
Lleida,511.0,198.0,198.0,39.0,53.0,23.0,
Málaga,2393.0,1025.0,891.0,230.0,124.0,123.0,
Miguel Hernández de Elche,1621.0,443.0,698.0,35.0,373.0,72.0,
Murcia,2349.0,1257.0,283.0,315.0,254.0,240.0,
Oviedo,1684.0,552.0,761.0,174.0,77.0,120.0,
Pablo de Olavide,657.0,468.0,70.0,51.0,8.0,60.0,
País Vasco/Euskal Herriko Unibertsitatea,3177.0,1350.0,1331.0,216.0,131.0,149.0,
Politécnica de Cartagena,972.0,101.0,871.0,0.0,0.0,0.0,
Politécnica de Catalunya,4998.0,0.0,4968.0,0.0,20.0,10.0,
Politécnica de Madrid,4697.0,269.0,4425.0,0.0,0.0,3.0,
Politècnica de València,3592.0,319.0,3034.0,135.0,0.0,104.0,
Pompeu Fabra,674.0,427.0,147.0,91.0,9.0,0.0,
Pública de Navarra,513.0,223.0,270.0,0.0,20.0,0.0,
Rey Juan Carlos,3849.0,2603.0,980.0,69.0,81.0,116.0,
Rovira i Virgili,1034.0,365.0,428.0,106.0,83.0,52.0,
Salamanca,1512.0,603.0,486.0,160.0,137.0,126.0,
Santiago de Compostela,1248.0,514.0,244.0,148.0,205.0,137.0,
Sevilla,5349.0,1743.0,2485.0,519.0,285.0,317.0,
València (Estudi General),2765.0,1321.0,344.0,373.0,385.0,342.0,
Valladolid,1668.0,723.0,718.0,104.0,49.0,74.0,
Vigo,1308.0,519.0,663.0,56.0,13.0,57.0,
Zaragoza,2008.0,954.0,633.0,197.0,74.0,150.0,
Universidades Públicas No Presenciales,48209.0,21705.0,5419.0,11093.0,6024.0,3968.0,
Nacional de Educación a Distancia,48209.0,21705.0,5419.0,11093.0,6024.0,3968.0,
Universidades Privadas,31416.0,17454.0,7589.0,1965.0,4192.0,216.0,
Universidades Privadas Presenciales,11279.0,5618.0,3021.0,334.0,2090.0,216.0,
Abat Oliba CEU,121.0,103.0,0.0,0.0,18.0,0.0,
Alfonso X El Sabio,305.0,21.0,146.0,14.0,124.0,0.0,
Antonio de Nebrija,332.0,222.0,105.0,5.0,0.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,516.0,376.0,32.0,7.0,101.0,0.0,
Cardenal Herrera-CEU,346.0,126.0,48.0,0.0,172.0,0.0,
Católica de Valencia San Vicente Mártir,635.0,250.0,0.0,23.0,338.0,24.0,
Católica San Antonio,1525.0,843.0,380.0,0.0,265.0,37.0,
Católica Santa Teresa de Jesús de Ávila,805.0,273.0,476.0,0.0,42.0,14.0,
Deusto,270.0,184.0,43.0,35.0,8.0,0.0,
Europea de Canarias,21.0,12.0,8.0,0.0,1.0,0.0,
Europea de Madrid,1582.0,841.0,461.0,24.0,250.0,6.0,
Europea de Valencia,81.0,35.0,8.0,4.0,34.0,0.0,
Europea del Atlántico,49.0,21.0,9.0,0.0,19.0,0.0,
Europea Miguel de Cervantes,335.0,167.0,68.0,0.0,97.0,3.0,
Fernando Pessoa-Canarias (UFP-C),10.0,0.0,0.0,0.0,10.0,0.0,
Francisco de Vitoria,618.0,451.0,68.0,18.0,66.0,15.0,
IE Universidad,15.0,13.0,2.0,0.0,0.0,0.0,
Internacional de Catalunya,145.0,63.0,24.0,10.0,48.0,0.0,
Loyola Andalucía,156.0,137.0,13.0,0.0,6.0,0.0,
Mondragón Unibertsitatea,247.0,101.0,146.0,0.0,0.0,0.0,
Navarra,370.0,117.0,169.0,38.0,25.0,21.0,
Pontificia Comillas,227.0,70.0,91.0,43.0,23.0,0.0,
Pontificia de Salamanca,331.0,256.0,31.0,6.0,38.0,0.0,
Ramón Llull,1052.0,430.0,444.0,10.0,142.0,26.0,
San Jorge,145.0,26.0,41.0,1.0,77.0,0.0,
San Pablo-CEU,511.0,284.0,113.0,5.0,101.0,8.0,
Vic-Central de Catalunya,529.0,196.0,95.0,91.0,85.0,62.0,
Universidades Privadas No Presenciales,20137.0,11836.0,4568.0,1631.0,2102.0,0.0,
A Distancia de Madrid,1324.0,707.0,475.0,66.0,76.0,0.0,
Internacional de La Rioja,2346.0,1880.0,288.0,178.0,0.0,0.0,
Internacional Isabel I de Castilla,1184.0,618.0,107.0,0.0,459.0,0.0,
Internacional Valenciana,155.0,92.0,28.0,16.0,19.0,0.0,
Oberta de Catalunya,15128.0,8539.0,3670.0,1371.0,1548.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
