
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,5175.0,2157.0,2364.0,125.0,252.0,277.0,
Alcalá,4881.0,1559.0,1621.0,301.0,926.0,474.0,
Alicante,6823.0,3670.0,1683.0,574.0,291.0,605.0,
Almería,4012.0,1980.0,1040.0,257.0,380.0,355.0,
Autónoma de Barcelona,8609.0,3455.0,1289.0,995.0,1206.0,1664.0,
Autónoma de Madrid,7388.0,3289.0,923.0,1028.0,780.0,1368.0,
Barcelona,11655.0,5720.0,643.0,1605.0,1699.0,1988.0,
Burgos,2005.0,932.0,766.0,125.0,136.0,46.0,
Cádiz,5929.0,2462.0,1823.0,434.0,647.0,563.0,
Cantabria,3071.0,1191.0,1269.0,117.0,263.0,231.0,
Carlos III de Madrid,7064.0,3457.0,3588.0,19.0,0.0,0.0,
Castilla-La Mancha,7759.0,3449.0,2485.0,490.0,994.0,341.0,
Complutense de Madrid,16847.0,7976.0,1797.0,2235.0,2451.0,2388.0,
Córdoba,5138.0,1666.0,1446.0,551.0,708.0,767.0,
Extremadura,5970.0,2689.0,1553.0,233.0,885.0,610.0,
Girona,3268.0,1266.0,983.0,282.0,248.0,489.0,
Granada,13548.0,5906.0,2486.0,1513.0,1945.0,1698.0,
Huelva,2800.0,1328.0,825.0,256.0,242.0,149.0,
Illes Balears (Les),3133.0,1515.0,750.0,233.0,299.0,336.0,
Jaén,4407.0,1909.0,1476.0,322.0,433.0,267.0,
Jaume I de Castellón,3863.0,1835.0,1377.0,219.0,335.0,97.0,
La Laguna,5826.0,2206.0,1570.0,552.0,871.0,627.0,
La Rioja,1320.0,616.0,469.0,85.0,0.0,150.0,
Las Palmas de Gran Canaria,5544.0,2566.0,1799.0,367.0,714.0,98.0,
León,3238.0,1271.0,1098.0,153.0,343.0,373.0,
Lleida,2672.0,995.0,807.0,234.0,527.0,109.0,
Málaga,12121.0,4728.0,4411.0,1067.0,1036.0,879.0,
Miguel Hernández de Elche,3230.0,806.0,903.0,98.0,1228.0,195.0,
Murcia,8019.0,3862.0,742.0,993.0,1401.0,1021.0,
Oviedo,6308.0,2138.0,2298.0,588.0,541.0,743.0,
Pablo de Olavide,3144.0,2368.0,147.0,312.0,47.0,270.0,
País Vasco/Euskal Herriko Unibertsitatea,13149.0,5166.0,4750.0,965.0,1182.0,1086.0,
Politécnica de Cartagena,2031.0,214.0,1817.0,0.0,0.0,0.0,
Politécnica de Catalunya,10498.0,0.0,10350.0,0.0,84.0,64.0,
Politécnica de Madrid,14395.0,659.0,13718.0,0.0,0.0,18.0,
Politècnica de València,8572.0,869.0,6911.0,494.0,0.0,298.0,
Pompeu Fabra,3419.0,2468.0,526.0,282.0,143.0,0.0,
Pública de Navarra,2882.0,1191.0,1554.0,0.0,137.0,0.0,
Rey Juan Carlos,12141.0,7765.0,2862.0,461.0,720.0,333.0,
Rovira i Virgili,3439.0,1335.0,994.0,208.0,611.0,291.0,
Salamanca,6615.0,2306.0,1302.0,1076.0,962.0,969.0,
Santiago de Compostela,6125.0,2227.0,630.0,733.0,1590.0,945.0,
Sevilla,18277.0,6269.0,7046.0,1510.0,1953.0,1499.0,
València (Estudi General),11292.0,5692.0,924.0,1189.0,2146.0,1341.0,
Valladolid,6696.0,2967.0,2179.0,465.0,598.0,487.0,
Vigo,5961.0,2330.0,2723.0,338.0,96.0,474.0,
Zaragoza,8890.0,3727.0,2594.0,710.0,917.0,942.0,
Universidades Públicas No Presenciales,10560.0,5226.0,853.0,1615.0,2118.0,748.0,
Nacional de Educación a Distancia,10560.0,5226.0,853.0,1615.0,2118.0,748.0,
Universidades Privadas,50312.0,24257.0,7099.0,1393.0,16682.0,881.0,
Universidades Privadas Presenciales,45298.0,20903.0,6612.0,1133.0,15769.0,881.0,
Abat Oliba CEU,354.0,304.0,0.0,0.0,50.0,0.0,
Alfonso X El Sabio,2516.0,135.0,214.0,103.0,2061.0,3.0,
Antonio de Nebrija,1183.0,829.0,294.0,38.0,22.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,991.0,665.0,28.0,28.0,270.0,0.0,
Cardenal Herrera-CEU,2144.0,589.0,75.0,0.0,1480.0,0.0,
Católica de Valencia San Vicente Mártir,2909.0,1003.0,0.0,11.0,1723.0,172.0,
Católica San Antonio,3292.0,1509.0,297.0,14.0,1444.0,28.0,
Católica Santa Teresa de Jesús de Ávila,398.0,111.0,165.0,0.0,118.0,4.0,
Deusto,2729.0,2033.0,467.0,133.0,96.0,0.0,
Europea de Canarias,169.0,113.0,19.0,0.0,37.0,0.0,
Europea de Madrid,3425.0,1110.0,603.0,93.0,1574.0,45.0,
Europea de Valencia,661.0,169.0,11.0,15.0,466.0,0.0,
Europea del Atlántico,828.0,243.0,129.0,23.0,433.0,0.0,
Europea Miguel de Cervantes,740.0,206.0,90.0,0.0,437.0,7.0,
Fernando Pessoa-Canarias (UFP-C),107.0,9.0,0.0,0.0,98.0,0.0,
Francisco de Vitoria,2216.0,1202.0,224.0,63.0,632.0,95.0,
IE Universidad,458.0,411.0,42.0,5.0,0.0,0.0,
Internacional de Catalunya,1119.0,415.0,48.0,15.0,641.0,0.0,
Loyola Andalucía,866.0,652.0,117.0,0.0,97.0,0.0,
Mondragón Unibertsitatea,1723.0,892.0,831.0,0.0,0.0,0.0,
Navarra,3123.0,1229.0,720.0,269.0,671.0,234.0,
Pontificia Comillas,2649.0,1477.0,824.0,127.0,221.0,0.0,
Pontificia de Salamanca,1208.0,791.0,99.0,0.0,318.0,0.0,
Ramón Llull,4500.0,2871.0,830.0,126.0,568.0,105.0,
San Jorge,911.0,115.0,143.0,4.0,649.0,0.0,
San Pablo-CEU,2158.0,1103.0,196.0,34.0,784.0,41.0,
Vic-Central de Catalunya,1921.0,717.0,146.0,32.0,879.0,147.0,
Universidades Privadas No Presenciales,5014.0,3354.0,487.0,260.0,913.0,0.0,
A Distancia de Madrid,346.0,236.0,74.0,11.0,25.0,0.0,
Internacional de La Rioja,1176.0,1013.0,70.0,93.0,0.0,0.0,
Internacional Isabel I de Castilla,932.0,288.0,39.0,0.0,605.0,0.0,
Internacional Valenciana,203.0,119.0,10.0,35.0,39.0,0.0,
Oberta de Catalunya,2357.0,1698.0,294.0,121.0,244.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
