Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,119.0,0.0,0.0,36.0,0.0,
Alcalá,112.0,0.0,0.0,143.0,0.0,
Alicante,12.0,0.0,0.0,0.0,0.0,
Almería,77.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,318.0,392.0,137.0,733.0,0.0,
Autónoma de Madrid,102.0,0.0,0.0,321.0,0.0,
Barcelona,646.0,249.0,373.0,600.0,0.0,
Burgos,27.0,0.0,0.0,0.0,0.0,
Cádiz,70.0,0.0,0.0,54.0,0.0,
Cantabria,40.0,0.0,5.0,183.0,0.0,
Carlos III de Madrid,80.0,136.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,1745.0,0.0,3.0,206.0,0.0,
Córdoba,231.0,0.0,0.0,0.0,0.0,
Extremadura,29.0,71.0,0.0,0.0,0.0,
Girona,499.0,0.0,23.0,737.0,0.0,
Granada,217.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),89.0,0.0,0.0,10.0,0.0,
Jaén,122.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,94.0,0.0,0.0,46.0,0.0,
La Rioja,0.0,0.0,0.0,42.0,0.0,
Las Palmas de Gran Canaria,54.0,0.0,0.0,0.0,0.0,
León,8.0,0.0,0.0,0.0,0.0,
Lleida,43.0,0.0,0.0,292.0,0.0,
Málaga,151.0,0.0,0.0,46.0,0.0,
Miguel Hernández de Elche,228.0,0.0,0.0,0.0,0.0,
Murcia,217.0,0.0,0.0,47.0,0.0,
