
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,1316.0,487.0,751.0,18.0,33.0,27.0,
Alcalá,1121.0,317.0,554.0,64.0,83.0,103.0,
Alicante,1802.0,838.0,676.0,146.0,35.0,107.0,
Almería,1008.0,473.0,365.0,60.0,58.0,52.0,
Autónoma de Barcelona,1954.0,767.0,385.0,283.0,160.0,359.0,
Autónoma de Madrid,1343.0,510.0,221.0,230.0,105.0,277.0,
Barcelona,3533.0,1675.0,207.0,745.0,321.0,585.0,
Burgos,730.0,242.0,369.0,88.0,15.0,16.0,
Cádiz,2255.0,861.0,1054.0,124.0,60.0,156.0,
Cantabria,944.0,316.0,512.0,40.0,24.0,52.0,
Carlos III de Madrid,1526.0,689.0,813.0,24.0,0.0,0.0,
Castilla-La Mancha,2003.0,820.0,904.0,135.0,65.0,79.0,
Complutense de Madrid,3025.0,1472.0,362.0,458.0,297.0,436.0,
Córdoba,1188.0,342.0,568.0,96.0,74.0,108.0,
Extremadura,2170.0,949.0,896.0,54.0,83.0,188.0,
Girona,961.0,303.0,453.0,87.0,26.0,92.0,
Granada,4021.0,1657.0,1106.0,483.0,384.0,391.0,
Huelva,1222.0,551.0,528.0,62.0,37.0,44.0,
Illes Balears (Les),1399.0,676.0,422.0,125.0,81.0,95.0,
Jaén,1129.0,411.0,555.0,61.0,49.0,53.0,
Jaume I de Castellón,1188.0,521.0,541.0,52.0,45.0,29.0,
La Laguna,1331.0,454.0,491.0,160.0,96.0,130.0,
La Rioja,216.0,89.0,95.0,13.0,0.0,19.0,
Las Palmas de Gran Canaria,1346.0,749.0,446.0,79.0,57.0,15.0,
León,1003.0,345.0,482.0,94.0,39.0,43.0,
Lleida,517.0,196.0,220.0,45.0,43.0,13.0,
Málaga,2277.0,993.0,861.0,198.0,113.0,112.0,
Miguel Hernández de Elche,1404.0,388.0,588.0,26.0,344.0,58.0,
Murcia,2212.0,1181.0,272.0,298.0,217.0,244.0,
Oviedo,1638.0,567.0,720.0,159.0,83.0,109.0,
Pablo de Olavide,662.0,491.0,59.0,48.0,8.0,56.0,
País Vasco/Euskal Herriko Unibertsitatea,3111.0,1238.0,1400.0,188.0,134.0,151.0,
Politécnica de Cartagena,1010.0,94.0,916.0,0.0,0.0,0.0,
Politécnica de Catalunya,5062.0,0.0,5012.0,0.0,32.0,18.0,
Politécnica de Madrid,4704.0,297.0,4407.0,0.0,0.0,0.0,
Politècnica de València,3724.0,303.0,3217.0,126.0,0.0,78.0,
Pompeu Fabra,697.0,426.0,185.0,72.0,14.0,0.0,
Pública de Navarra,503.0,184.0,301.0,0.0,18.0,0.0,
Rey Juan Carlos,3472.0,2401.0,848.0,49.0,70.0,104.0,
Rovira i Virgili,925.0,346.0,359.0,98.0,70.0,52.0,
