Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,465.0,842.0,16.0,37.0,31.0,
Alcalá,366.0,594.0,74.0,97.0,100.0,
Alicante,949.0,696.0,136.0,40.0,124.0,
Almería,483.0,403.0,61.0,62.0,77.0,
Autónoma de Barcelona,687.0,328.0,271.0,158.0,289.0,
Autónoma de Madrid,495.0,228.0,216.0,103.0,272.0,
Barcelona,1510.0,156.0,717.0,314.0,546.0,
Burgos,254.0,367.0,162.0,18.0,12.0,
Cádiz,869.0,1201.0,142.0,54.0,194.0,
Cantabria,351.0,494.0,35.0,22.0,40.0,
Carlos III de Madrid,562.0,815.0,16.0,0.0,0.0,
Castilla-La Mancha,854.0,809.0,125.0,74.0,63.0,
Complutense de Madrid,1550.0,415.0,478.0,347.0,468.0,
Córdoba,436.0,486.0,109.0,75.0,111.0,
Extremadura,882.0,726.0,71.0,85.0,185.0,
Girona,308.0,421.0,105.0,22.0,119.0,
Granada,1766.0,1067.0,533.0,426.0,432.0,
Huelva,515.0,524.0,98.0,44.0,37.0,
Illes Balears (Les),620.0,373.0,91.0,82.0,89.0,
Jaén,436.0,582.0,70.0,54.0,44.0,
Jaume I de Castellón,524.0,506.0,56.0,49.0,30.0,
La Laguna,520.0,490.0,169.0,87.0,128.0,
La Rioja,63.0,93.0,15.0,0.0,29.0,
Las Palmas de Gran Canaria,735.0,473.0,101.0,63.0,10.0,
León,321.0,461.0,49.0,39.0,74.0,
Lleida,205.0,223.0,45.0,53.0,15.0,
Málaga,1111.0,1023.0,268.0,119.0,157.0,
Miguel Hernández de Elche,437.0,678.0,28.0,383.0,61.0,
Murcia,1181.0,251.0,278.0,259.0,238.0,
Oviedo,583.0,761.0,177.0,78.0,120.0,
Pablo de Olavide,453.0,62.0,67.0,6.0,45.0,
País Vasco/Euskal Herriko Unibertsitatea,1388.0,1252.0,203.0,97.0,153.0,
Politécnica de Cartagena,118.0,871.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,4764.0,0.0,19.0,1.0,
Politécnica de Madrid,251.0,4623.0,0.0,0.0,5.0,
Politècnica de València,234.0,2358.0,113.0,0.0,54.0,
Pompeu Fabra,436.0,144.0,96.0,8.0,0.0,
Pública de Navarra,198.0,256.0,0.0,18.0,7.0,
Rey Juan Carlos,2811.0,1006.0,107.0,96.0,118.0,
Rovira i Virgili,337.0,435.0,121.0,72.0,57.0,
Salamanca,551.0,485.0,134.0,137.0,120.0,
Santiago de Compostela,518.0,218.0,151.0,197.0,157.0,
Sevilla,1838.0,2643.0,538.0,273.0,319.0,
València (Estudi General),1223.0,350.0,384.0,341.0,347.0,
Valladolid,746.0,687.0,113.0,47.0,96.0,
Vigo,498.0,727.0,77.0,15.0,58.0,
Zaragoza,913.0,604.0,231.0,86.0,120.0,
Universidades Públicas No Presenciales,21572.0,5381.0,11549.0,6140.0,4513.0,
Nacional de Educación a Distancia,21572.0,5381.0,11549.0,6140.0,4513.0,
Universidades Privadas,17928.0,8007.0,2306.0,4718.0,224.0,
Universidades Privadas Presenciales,5912.0,3017.0,348.0,2333.0,224.0,
Abat Oliba CEU,192.0,0.0,0.0,16.0,0.0,
Alfonso X El Sabio,31.0,193.0,13.0,145.0,0.0,
Antonio de Nebrija,216.0,127.0,2.0,1.0,0.0,
Atlántico Medio,2.0,0.0,0.0,0.0,0.0,
Camilo José Cela,405.0,32.0,7.0,121.0,0.0,
Cardenal Herrera-CEU,124.0,35.0,0.0,159.0,0.0,
Católica de Valencia San Vicente Mártir,277.0,0.0,19.0,340.0,20.0,
Católica San Antonio,740.0,372.0,3.0,282.0,50.0,
