
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,208.0,169.0,0.0,0.0,39.0,0.0,
Alcalá,185.0,110.0,0.0,0.0,75.0,0.0,
Alicante,10.0,10.0,0.0,0.0,0.0,0.0,
Almería,74.0,74.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,1809.0,351.0,373.0,165.0,920.0,0.0,
Autónoma de Madrid,360.0,86.0,0.0,0.0,274.0,0.0,
Barcelona,1509.0,534.0,169.0,240.0,566.0,0.0,
Burgos,33.0,33.0,0.0,0.0,0.0,0.0,
Cádiz,160.0,90.0,0.0,0.0,70.0,0.0,
Cantabria,225.0,38.0,0.0,3.0,184.0,0.0,
Carlos III de Madrid,128.0,0.0,128.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,2111.0,1895.0,0.0,81.0,135.0,0.0,
Córdoba,223.0,223.0,0.0,0.0,0.0,0.0,
Extremadura,102.0,32.0,70.0,0.0,0.0,0.0,
Girona,1171.0,551.0,0.0,4.0,616.0,0.0,
Granada,229.0,229.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),142.0,142.0,0.0,0.0,0.0,0.0,
Jaén,130.0,130.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,0.0,
La Laguna,131.0,88.0,0.0,0.0,43.0,0.0,
La Rioja,34.0,0.0,0.0,0.0,34.0,0.0,
Las Palmas de Gran Canaria,57.0,57.0,0.0,0.0,0.0,0.0,
León,7.0,7.0,0.0,0.0,0.0,0.0,
Lleida,352.0,27.0,0.0,0.0,325.0,0.0,
Málaga,215.0,163.0,0.0,0.0,52.0,0.0,
Miguel Hernández de Elche,169.0,169.0,0.0,0.0,0.0,0.0,
Murcia,264.0,212.0,0.0,0.0,52.0,0.0,
Oviedo,148.0,87.0,0.0,0.0,61.0,0.0,
Pablo de Olavide,132.0,132.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,339.0,161.0,131.0,0.0,47.0,0.0,
Politécnica de Cartagena,153.0,0.0,153.0,0.0,0.0,0.0,
Politécnica de Catalunya,2580.0,663.0,1917.0,0.0,0.0,0.0,
Politécnica de Madrid,9.0,0.0,0.0,9.0,0.0,0.0,
Politècnica de València,177.0,0.0,177.0,0.0,0.0,0.0,
Pompeu Fabra,1741.0,931.0,442.0,0.0,368.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,1272.0,1103.0,15.0,154.0,0.0,0.0,
Rovira i Virgili,237.0,0.0,56.0,0.0,181.0,0.0,
Salamanca,179.0,20.0,91.0,0.0,68.0,0.0,
Santiago de Compostela,137.0,92.0,0.0,0.0,45.0,0.0,
Sevilla,878.0,622.0,0.0,0.0,256.0,0.0,
València (Estudi General),402.0,322.0,0.0,0.0,80.0,0.0,
Valladolid,137.0,0.0,73.0,0.0,64.0,0.0,
Vigo,460.0,193.0,140.0,0.0,127.0,0.0,
Zaragoza,1180.0,69.0,1049.0,0.0,62.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,2459.0,1072.0,104.0,900.0,383.0,0.0,
Universidades Privadas Presenciales,2459.0,1072.0,104.0,900.0,383.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,217.0,0.0,0.0,0.0,217.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,794.0,10.0,83.0,701.0,0.0,0.0,
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,0.0,
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,0.0,
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,0.0,
Católica Santa Teresa de Jesús de Ávila,55.0,55.0,0.0,0.0,0.0,0.0,
Deusto,269.0,269.0,0.0,0.0,0.0,0.0,
Europea de Canarias,0.0,0.0,0.0,0.0,0.0,0.0,
Europea de Madrid,203.0,16.0,21.0,0.0,166.0,0.0,
Europea de Valencia,0.0,0.0,0.0,0.0,0.0,0.0,
Europea del Atlántico,0.0,0.0,0.0,0.0,0.0,0.0,
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,0.0,
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,0.0,
IE Universidad,369.0,369.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,0.0,
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,222.0,222.0,0.0,0.0,0.0,0.0,
Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Pontificia Comillas,73.0,73.0,0.0,0.0,0.0,0.0,
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,0.0,
Ramón Llull,61.0,0.0,0.0,61.0,0.0,0.0,
San Jorge,0.0,0.0,0.0,0.0,0.0,0.0,
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,0.0,
Vic-Central de Catalunya,196.0,58.0,0.0,138.0,0.0,0.0,
Universidades Privadas No Presenciales,0.0,0.0,0.0,0.0,0.0,0.0,
A Distancia de Madrid,0.0,0.0,0.0,0.0,0.0,0.0,
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,0.0,
Internacional Isabel I de Castilla,0.0,0.0,0.0,0.0,0.0,0.0,
Internacional Valenciana,0.0,0.0,0.0,0.0,0.0,0.0,
Oberta de Catalunya,0.0,0.0,0.0,0.0,0.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
