
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,81.0,66.0,0.0,0.0,15.0,0.0,
Alcalá,276.0,167.0,0.0,0.0,109.0,0.0,
Alicante,20.0,20.0,0.0,0.0,0.0,0.0,
Almería,0.0,0.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,514.0,68.0,20.0,147.0,279.0,0.0,
Autónoma de Madrid,251.0,186.0,0.0,0.0,65.0,0.0,
Barcelona,191.0,98.0,1.0,29.0,63.0,0.0,
Burgos,19.0,19.0,0.0,0.0,0.0,0.0,
Cádiz,26.0,21.0,0.0,0.0,5.0,0.0,
Cantabria,58.0,29.0,0.0,1.0,28.0,0.0,
Carlos III de Madrid,1.0,0.0,1.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,324.0,257.0,0.0,0.0,67.0,0.0,
Córdoba,37.0,37.0,0.0,0.0,0.0,0.0,
Extremadura,26.0,21.0,5.0,0.0,0.0,0.0,
Girona,303.0,199.0,0.0,27.0,77.0,0.0,
Granada,93.0,93.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),78.0,70.0,0.0,0.0,8.0,0.0,
Jaén,140.0,140.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,0.0,
La Laguna,34.0,24.0,0.0,0.0,10.0,0.0,
La Rioja,5.0,0.0,0.0,0.0,5.0,0.0,
Las Palmas de Gran Canaria,28.0,28.0,0.0,0.0,0.0,0.0,
León,0.0,0.0,0.0,0.0,0.0,0.0,
Lleida,39.0,16.0,0.0,0.0,23.0,0.0,
Málaga,21.0,15.0,0.0,0.0,6.0,0.0,
Miguel Hernández de Elche,29.0,29.0,0.0,0.0,0.0,0.0,
Murcia,201.0,171.0,0.0,0.0,30.0,0.0,
Oviedo,132.0,69.0,0.0,0.0,63.0,0.0,
Pablo de Olavide,11.0,10.0,0.0,0.0,1.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,59.0,34.0,4.0,0.0,21.0,0.0,
Politécnica de Cartagena,10.0,0.0,10.0,0.0,0.0,0.0,
Politécnica de Catalunya,138.0,126.0,10.0,2.0,0.0,0.0,
Politécnica de Madrid,20.0,0.0,0.0,20.0,0.0,0.0,
Politècnica de València,18.0,0.0,18.0,0.0,0.0,0.0,
Pompeu Fabra,339.0,146.0,109.0,4.0,80.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,183.0,144.0,6.0,33.0,0.0,0.0,
Rovira i Virgili,23.0,4.0,0.0,0.0,19.0,0.0,
Salamanca,73.0,56.0,2.0,0.0,15.0,0.0,
Santiago de Compostela,76.0,66.0,0.0,0.0,10.0,0.0,
Sevilla,311.0,273.0,0.0,0.0,38.0,0.0,
València (Estudi General),225.0,207.0,0.0,0.0,18.0,0.0,
Valladolid,16.0,0.0,0.0,0.0,16.0,0.0,
Vigo,72.0,25.0,8.0,0.0,39.0,0.0,
Zaragoza,108.0,23.0,77.0,0.0,8.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,560.0,186.0,19.0,304.0,51.0,0.0,
Universidades Privadas Presenciales,560.0,186.0,19.0,304.0,51.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,51.0,0.0,0.0,0.0,51.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,97.0,13.0,0.0,84.0,0.0,0.0,
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,0.0,
